Status,Nombre linea,Nombre Variedad,Ciclo,Pedigree,Genealogia,CRIADERO,Origen,grupo
Variedad,,GLADIADOR,Long,K0513a4/K0595b2,CM67458/KLTO//BYAPE,KLEIN,KLEIN,3
Variedad,,MS INTA 815,,PASTOR/2*SITTA//PBW343*2/KUKUNA,CMSS04Y00333S-099Y-099ZTM-099Y-099M-7WGY-0B-1J-0J,INTA,CRIADERO,3
Linea,B02003,,Long,ACA304/BGTZ,,INTA,CRIADERO,3
Linea,B02004,,Long,ACA304/BGTZ,,INTA,CRIADERO,3
Linea,B02008,,Intermediate,BPON/CCTP-F7-7792-122(87)//BI1001,,INTA,CRIADERO,3
Linea,B02013,,Long,CTY*3/TA2460//ACA303,,INTA,CRIADERO,3
Linea,B02014,,Intermediate,VONA//KS75210/TAM101/3/ICCHE,,INTA,CRIADERO,3
Linea,B02016,,Intermediate,RAYON//VEE#6/TRAP#1/3/BAGP13,,INTA,BALCARCE,3
Linea,B02017,,Intermediate,RAYON//VEE#6/TRAP#1/3/BAGP13,,INTA,BALCARCE,3
Linea,B02023,,Long,RAYON//VEE#6/TRAP#1/3/BI3000,,INTA,CRIADERO,3
Linea,B02029,,Long,SUPER SERI#1/KLPRT,,INTA,CRIADERO,3
Linea,B02031,,Long,CAPENO1/BFRL/4/2*TEPOCA/3/CHEN/AE.SQ(TAUS)//BCN,,INTA,CRIADERO,3
Linea,B02041,,Long,BGTZ/4/TX73V2033/AMI//PIOS/3/PIFED,,INTA,CRIADERO,3
Linea,B02045,,Long,W01007/BBRA,,INTA,CRIADERO,3
Linea,B02050,,Intermediate,EXPNID 95069/KLMT,,INTA,BALCARCE,3
Linea,B02053,,Short,CHAPIO/3/BORL95/2*EXCALIBUR//EXCALIBUR,,INTA,BALCARCE,3
Linea,B02060,,Short,WBLL1/KUKUNA//TACUPETO F2001/3/UP2338*2/VIVITSI,,INTA,BALCARCE,3
Linea,B02066,,Short,PRINIA/BERKUT//PFAU/MILAN,,INTA,BALCARCE,3
Linea,B02067,,Short,PRINIA/BERKUT//PFAU/MILAN,,INTA,BALCARCE,3
Linea,B03001,,Short,VORB/4/D67.2/PARANA66.270//AE.SQ.(320)/3/CUNNINGHAM/5/D67.2/PARANA 66.270//AE.SQ.(320)/3/CUNNINGHAM,,INTA,CRIADERO,3
Linea,B03002,,Short,VORB/4/D67.2/PARANA66.270//AE.SQ.(320)/3/CUNNINGHAM/5/D67.2/PARANA66.270//AE.SQ.(320)/3/CUNNINGHAM,,INTA,CRIADERO,3
Linea,B03003,,Short,"VORB/6/CPI8/GEDIZ/3/GOO//ALB/CRA/4/AE.SQ.(208)/5/2*WESTONIA/7/CPI8/GEDIZ/3/GOO//ALB/CRA/4/AE.SQ,(208)/5/2*WESTONIA",,INTA,CRIADERO,3
Linea,B03004,,Short,"TACUPETO_F2001/6/CNDO/R143//ENTE/MEXI_2/3/AE.SQ,(TAUS)/4/WEAVER/5/PASTOR/7/ROLF07",,INTA,CRIADERO,3
Linea,B03005,,Long,FRTL/PIFED//BI3004,,INTA,CRIADERO,3
Linea,B03019,,Intermediate,ITZA/SOIS,,INTA,CRIADERO,3
Linea,B03020,,Intermediate,ITZA/SOIS,,INTA,CRIADERO,3
Linea,B03028,,Intermediate,KLCJ/BAG10,,INTA,CRIADERO,3
Linea,B03045,,Long,F81513/MILAN//B16500,,INTA,CRIADERO,3
Linea,B03046,,Intermediate,BONPAS/3/CMH71A.744/SERI82//TEMU342-85,,INTA,CRIADERO,3
Linea,B03047,,Long,V00833/W01044,,INTA,CRIADERO,3
Linea,B04001,,Short,PBW343,,INTA,CRIADERO,3
Linea,B04013,,Short,MUNAL//WBL1*2/BRAMBLING,,INTA,CRIADERO,3
Linea,B16008,,Intermediate,ENID 95322/BGPO,,INTA,CRIADERO,3
Linea,B16208,,Long,ENID 95069/KLMT,,INTA,CRIADERO,3
Linea,B16908,,Intermediate,"K4500.4/BUC""S""//TAN""S""/3/B10",,INTA,CRIADERO,3
Linea,B17108,,Intermediate,K4500.4/BUC\'S\'//TAN\'S\'/3/BAG10,AMJ:28375-4B-5B-3B-0B,INTA,CRIADERO,3
Linea,B28109,,Short,"K500.4/BUC""S""//TAN""S""/5/PIOS/4/KLAT/MJI//VI/3/PSN""S""/BOW""S""/6/WEEBIL",,INTA,CRIADERO,3
Linea,BOAGLIO,,Long,Pedigri Cerrado,,INTA,PM-2012 - 273,3
Linea,CAYU,,Long,Pedigri Cerrado,,INTA,PM-2012 - 276,3
Linea,CUMÉ,,Long,Pedigri Cerrado,,INTA,PM-2012 - 279,3
Linea,ESPINILLO INTA,,Long,Pedigri Cerrado,,INTA,PM-2012 - 246,3
Linea,F2 25002,,,BI3008/BPLE,AI:34235,INTA,SSD ,3
Linea,F2 25003,,,BI3005/BAG501,AI:34236,INTA,SSD ,3
Linea,F3 35001,,,AGP FAST/SY200,AI:32854-J1,INTA,SSD ,3
Linea,F3 35002,,,BI1006/SNOG,AI:32890-J1,INTA,SSD ,3
Linea,F3 35003,,,BI3008/LE2330,AI:33074-J1,INTA,SSD ,3
Linea,F4 45001,,,BI2007/SY200,AI:34232-J1-J1,INTA,SSD ,3
Linea,F4 45002,,,BIO3008/SY200,AI:34233-J1-J1,INTA,SSD ,3
Linea,F4 45003,,,LE2330/BI2007,AI:31707-J1-J1,INTA,SSD ,3
Linea,F4 45004,,,PRIVER/SNOG,AI:32060-J1-J1,INTA,SSD ,3
Linea,F4 45005,,,BAG21/SNOG//BAG9,AIT:31999-J1-J1,INTA,SSD ,3
Linea,F5 55001,,,BI1006/SY100,AI:32274-J1-J1-J1,INTA,SSD ,3
Linea,F5 55002,,,BI1006/SY100,AI:32274-J2-J1-J1,INTA,SSD ,3
Linea,F5 55003,,,BI1006/SY100,AI:32274-J3-J1-J1,INTA,SSD ,3
Linea,F5 55004,,,BI1006/SY100,AI:32274-J4-J1-J1,INTA,SSD ,3
Linea,F5 55005,,,BI1006/SY100,AI:32274-J5-J1-J1,INTA,SSD ,3
Linea,F5 55006,,,BI1006/SY100,AI:32274-J6-J1-J1,INTA,SSD ,3
Linea,F5 55007,,,BI1006/SY100,AI:32274-J7-J1-J1,INTA,SSD ,3
Linea,F5 55008,,,BI1006/SY100,AI:32274-J8-J1-J1,INTA,SSD ,3
Linea,F5 55009,,,BI1006/SY100,AI:32274-J9-J1-J1,INTA,SSD ,3
Linea,F5 55010,,,BI1006/SY100,AI:32274-J10-J1-J1,INTA,SSD ,3
