Linea,Criadero,Status,Origen,Año,CNN/CS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
ACA 302,ACA,Variedad,CBN,2003,,,nulo?,7+8,5+10
ACA 303,ACA,Variedad,CBN,2003,CNN,NO,2*,7+8,5+10
ACA 601,ACA,Variedad,CBN,2003,CNN,NO,2*,7+8,5+10
ACA 801,ACA,Variedad,CBN,2003,CS,NO,2*,7+9,5+10
ARRIERO,BUCK,Variedad,CBN,2003,CS,NO,1,7+8,5+10
BIGUA,BUCK,Variedad,CBN,2003,CS,NO,1/2*,7+8,5+10
GUAPO,BUCK,Variedad,CBN,2003,CS,SI,1,7+8,5+10
GUATIMOZIN,BUCK,Variedad,CBN,2003,,,2*,7+8,5+10
MATACO,BUCK,Variedad,CBN,2003,CNN,NO,1,17+18,5+10
PINGO,BUCK,Variedad,CBN,2003,CNN,NO,1,17+18,5+10
INIA CHURRINCHE,INIA,Variedad,CBN,2003,,NO,2*,7+8,5+10
INIA TIJERETA,INIA,Variedad,CBN,2003,CS,NO,2*,17+18,5+10
CHAJÁ,KLEIN,Variedad,CBN,2003,,,2*,17+18,5+10
ESCORPION,KLEIN,Variedad,CBN,2003,CS,SI,1,7+9,5+10
FLECHA,KLEIN,Variedad,CBN,2003,,,2*,7+8,5+10
PROTEO,KLEIN,Variedad,CBN,2003,,,1,7+9,5+10
SAGITARIO,KLEIN,Variedad,CBN,2003,CS,SI,1,7+8,5+10
PROINTA GAUCHO,INTA,Variedad,CBN,2003,CS,SI,1,7+9,5+10
PROINTA GRANAR,INTA,Variedad,CBN,2003,CS,SI,2*,13+16,5+10
PROINTA MOLINERO,INTA,Variedad,CBN,2003,CS,NO,1,7+8,5+10
BRASIL                                                 ,BUCK,Variedad,CBN,2003,CS,NO,1,7+8,5+10
FAROL                                                  ,BUCK,Variedad,CBN,2003,CNN,SI,2*,7+8,2+12
PANADERO                                               ,BUCK,Variedad,CBN,2003,CS,NO,2*,7+8,5+10
PONCHO                                                 ,BUCK,Variedad,CBN,2003,CNN,NO,2*,7+8,5+10
PRONTO                                                 ,BUCK,Variedad,CBN,2003,CS,NO,2*,7+8,5+10
SUREÑO                                                 ,BUCK,Variedad,CBN,2003,CS,SI,2*,7+8,5+10
CAUDILLO                                                    ,BUCK,Variedad,CBN,2003,,NO,2*,7+8,5+10
ESCUDO                                                ,KLEIN,Variedad,CBN,2003,CS,SI,2*,7+9,5+10
JABALÍ                                                ,KLEIN,Variedad,CBN,2003,CS,H,2*,7+8,5+10
MARTILLO                                              ,KLEIN,Variedad,CBN,2003,CNN,SI,2*,7+9,5+10
VOLCAN                                                ,KLEIN,Variedad,CBN,2003,CS,NO,2*,7+8,5+10
PROINTA COLIBRÍ                                             ,INTA,Variedad,CBN,2003,CS,NO,1,7+8,5+10
PROINTA DON UMBERTO                                         ,INTA,Variedad,CBN,2003,CS,SI,2*,7+9,5+10
PROINTA IMPERIAL                                            ,INTA,Variedad,CBN,2003,CS,NO,1,7+8,5+10
W99003,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+8,5+10
W99010,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,17+18,5+10
W99015,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,17+18,5+10
W99020,INTA Barrow,Linea,CBN,2003,CS,NO,2*,7+8,5+10
W01002,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+8,5+10
W01007,INTA Barrow,Linea,CBN,2003,CS,SI,1,7+9,5+10
W01008,INTA Barrow,Linea,CBN,2003,CS,NO,1,7+8,5+10
W01009,INTA Barrow,Linea,CBN,2003,CS,NO,2*,7+9,2+12
W01010,INTA Barrow,Linea,CBN,2003,CS,NO,2*,7+9,2+12
W01011,INTA Barrow,Linea,CBN,2003,CS,NO,2*,7+9,2+12
W01014,INTA Barrow,Linea,CBN,2003,CS,NO,2*,7+8,5+10
W01020,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+9,5+10
W01021,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+9,5+10
W01028,INTA Barrow,Linea,CBN,2003,CS,NO,2*,7+8,5+10
W01029,INTA Barrow,Linea,CBN,2003,CS,NO,2*,7+8,5+10
W01037,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+8,5+10
W01038,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+8,5+10
W01039,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+8,5+10
W01040,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+8,5+10
W01041,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+8,5+10
W01042,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+8,5+10
W01044,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+8,5+10
W01046,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,17+18,5+10
W01049,INTA Barrow,Linea,CBN,2003,CNN,NO,2*,7+8,5+10
B12298,INTA Balcarce,Linea,CBN,2003,CS,SI,2*,7+8,5+10
B13699,INTA Balcarce,Linea,CBN,2003,CS,NO,1,7+8,5+10
B14799,INTA Balcarce,Linea,CBN,2003,CS,SI,,,
B22099,INTA Balcarce,Linea,CBN,2003,CS,SI,2*,7+8,5+10
B13100,INTA Balcarce,Linea,CBN,2003,CS,NO,1,7+8,5+10
B14900,INTA Balcarce,Linea,CBN,2003,CS,NO,2*,17+18,5+10
B15100,INTA Balcarce,Linea,CBN,2003,CNN,NO,2*,7+9,5+10
B16100,INTA Balcarce,Linea,CBN,2003,CNN,NO,2*,7+8,5+10
B16101,INTA Balcarce,Linea,CBN,2003,CS,NO,1,13+16,5+10
B16401,INTA Balcarce,Linea,CBN,2003,CS,NO,2*,7+9,5+10
