Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
ACA 601,ACA,Variedad,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
ACA 801,ACA,Variedad,CBN,2005,CS,NO,NO,2*,7+ 9,5+10
ACA 303,ACA,Variedad,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
ACA 304,ACA,Variedad,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
Baguette 10,NIDERA,Variedad,CBN,2005,CS,NO,NO,2*,6+8,5+10
Baguette 11,NIDERA,Variedad,CBN,2005,CS,NO,NO,2*,7+ 8,5+10
Baguette 13,NIDERA,Variedad,CBN,2005,CS,NO,NO,2*,14+15,5+10
Baguette 19,NIDERA,Variedad,CBN,2005,CS,NO,NO,nulo,14+15,5+10
Prointa Puntal,INTA,Variedad,CBN,2005,CS,SI,NO,2*,7+ 8,5+10
Prointa Gaucho,INTA,Variedad,CBN,2005,CS,NO,SI,1,7+ 9,5+10
Biointa 3003,INTA,Variedad,CBN,2005,CS,SI,NO,2*,7+ 9,5+10
Biointa 3000,INTA,Variedad,CBN,2005,CS,NO,NO,1,7+ 8,5+10
Biointa 2001,INTA,Variedad,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
Biointa 1000,INTA,Variedad,CBN,2005,CNN,NO,NO,1,7+ 8,5+10
Biointa 1001,INTA,Variedad,CBN,2005,CS,NO,SI,1,7+ 9,5+10
Biointa 1002,INTA,Variedad,CBN,2005,CS,NO,NO,1,7+ 9,5+10
Biointa 1003,INTA,Variedad,CBN,2005,CS,NO,NO,2*,7+ 9,5+10
T00100,INTA Parana,Linea,CBN,2005,CS,NO,SI,nulo,7+ 9,5+10
V00817,INTA Bordenave,Linea,CBN,2005,CS,NO,NO,2*,17+18,5+10
J02006,INTA Marcos Juarez,Linea,CBN,2005,CS,NO,NO,nulo,7+9/7+ 8,2+12
