Linea,Criadero,Status,Origen,Año,CS/CNN,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
ACA 201,ACA,Variedad,CBN,2007,CNN,NO,NO,2*,17+18,5+10
ACA 302,ACA,Variedad,CBN,2007,CNN,NO,NO,2*,7+8,5+10
ACA 315,ACA,Variedad,CBN,2007,CNN,NO,NO,2*,7+8,5+10
ACA 901,ACA,Variedad,CBN,2007,CS,NO,NO,2*,7+9,5+10
BAQUEANO,BUCK,Variedad,CBN,2007,CS,NO,SI,1,7+9,5+10
GLUTINO,BUCK,Variedad,CBN,2007,CS,NO,SI,2*,7+8,5+10
MALEVO,BUCK,Variedad,CBN,2007,CS,NO,SI,2*,7+8,5+10
NORTEÑO,BUCK,Variedad,CBN,2007,CNN,NO,SI,2*,7+8,5+10
PUELCHE,BUCK,Variedad,CBN,2007,CS,NO,SI,1,7+9,5+10
RANQUEL,BUCK,Variedad,CBN,2007,CNN,NO,SI,2*,7+9,5+10
BAGUETTE 10,NIDERA,Variedad,CBN,2007,CS,NO,NO,nulo,6+8,5+10
BAGUETTE 11,NIDERA,Variedad,CBN,2007,CS,NO,NO,2*,7+8,5+10
BAGUETTE 13,NIDERA,Variedad,CBN,2007,CS,NO,NO,2*,14+15,5+10
BAGUETTE 19,NIDERA,Variedad,CBN,2007,CS,NO,NO,nulo,14+15,5+10
BAGUETTE 20,NIDERA,Variedad,CBN,2007,CS,NO,NO,nulo,7+8,5+10
BAGUETTE 21,NIDERA,Variedad,CBN,2007,CS,NO,NO,2*/nulo,7+9,2+12
BAGUETTE 9,NIDERA,Variedad,CBN,2007,CS,NO,NO,2*,6+8/14+15?,5+10
BIOINTA 1000,INTA,Variedad,CBN,2007,CNN,NO,NO,1,7+8,5+10
BIOINTA 1001,INTA,Variedad,CBN,2007,CS,NO,SI,1,7+9,5+10
BIOINTA 1002,INTA,Variedad,CBN,2007,CS,NO,NO,1,7+9,5+10
BIOINTA 1003,INTA,Variedad,CBN,2007,CS,NO,NO,2*,7+9,5+10
BIOINTA 1004,INTA,Variedad,CBN,2007,CS,NO,NO,2*,7+8,5+10
BIOINTA 2002,INTA,Variedad,CBN,2007,CS,NO,NO,2*,17+18,5+10
BIOINTA 3000,INTA,Variedad,CBN,2007,CS,NO,NO,1,7+8,5+10
BIOINTA 3004,INTA,Variedad,CBN,2007,CS,NO,SI,2*,7+9,5+10
CENTINELA,INIA,Variedad,CBN,2007,CS,NO,NO,2*,7+9,5+10
SIRIRI,RELMO,Variedad,CBN,2007,CS,NO,NO,2*,7+9,5+10
CRONOX,DON MARIO,Variedad,CBN,2007,CS,NO,NO,2*,7+9,5+10
THEMIX,DON MARIO,Variedad,CBN,2007,CNN,NO,NO,2*,7+9,5+10
CAPRICORNIO,KLEIN,Variedad,CBN,2007,CS,NO,SI,1,7+9,5+10
GUERRERO,KLEIN,Variedad,CBN,2007,CS,NO,SI,1,7+9,5+10
ZORRO,KLEIN,Variedad,CBN,2007,CS,NO,SI,2*,7+9,5+10
NOGAL,SURSEM,Variedad,CBN,2007,CS,NO,NO,2*,7+8,5+10
B08102,INTA Balcarce,Linea,CBN,2007,CNN,NO,SI,2*,7+9,5+10
B08804,INTA Balcarce,Linea,CBN,2007,CS,NO,NO,1,17+18,5+10
B09404,INTA Balcarce,Linea,CBN,2007,CS,NO,NO,2*,7+9,5+10
J05003,INTA Marcos Juarez,Linea,CBN,2007,CS,NO,NO,2*/nulo,7+9,2+12
J05018,INTA Marcos Juarez,Linea,CBN,2007,CS,NO,NO,1,7+9,5+10
J05019,INTA Marcos Juarez,Linea,CBN,2007,CS,NO,SI,2*,7+9,5+10
J06005,INTA Marcos Juarez,Linea,CBN,2007,CS,NO,NO,1,7+8,5+10
JN04014,INTA Saenz Peña,Linea,CBN,2007,CS,NO,NO,2*,7+9,5+10
JN04010,INTA Saenz Peña,Linea,CBN,2007,CS,NO,NO,1,7+9,5+10
JN05007,INTA Saenz Peña,Linea,CBN,2007,CS,NO,NO,2*/nulo,7+8,2+12
JN05016,INTA Saenz Peña,Linea,CBN,2007,CS,NO,SI,2*/nulo,7+9,2+12
JN06003,INTA Saenz Peña,Linea,CBN,2007,CS,NO,NO,1,7+8,5+10
