Linea,Criadero,Status,Origen,Año,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-D1,Lr34
ACA 202,ACA,Variedad,CBN,2009,NO,NO,2*?,7+8,5+10,s,s,s,s,-
ACA 315,ACA,Variedad,CBN,2009,NO,NO,2*,7+8,5+10,w,w,s,s,-
ACA 320,ACA,Variedad,CBN,2009,NO,NO,2*?,7+8,5+10,w,s,s,s,-
ACA 901,ACA,Variedad,CBN,2009,NO,NO,2*,7+9,5+10,w,s,s,i,+
ACA 903 B,ACA,Variedad,CBN,2009,NO,SI,2*,7+9,5+10,w,s,w,i,-
55 CL ,BUCK,Variedad,CBN,2009,NO,NO,nulo,7+9,5+10,s,s,w,s,-
AGP FAST,BUCK,Variedad,CBN,2009,NO,NO,,13+16,5+10,s,w,w,s,-
HUANCHEN ,BUCK,Variedad,CBN,2009,NO,SI,nulo,7+9,5+10,w,w,s,i,+
MANGRULLO,BUCK,Variedad,CBN,2009,NO,NO,1,17+18,5+10,w,s,s/w,s,-
METEORO ,BUCK,Variedad,CBN,2009,NO,NO,1,17+18,5+10,s,s,s,i,-
PUELCHE,BUCK,Variedad,CBN,2009,NO,SI,1,7+9,5+10,s,w,s,i,-
TAITA ,BUCK,Variedad,CBN,2009,NO,NO,nulo,7oe+8/17+18,5+10,s/w,w,w,s,-
ATLAX,DON MARIO,Variedad,CBN,2009,NO,NO,1,7+9,5+10,w,s,s,i,-
CRONOX,DON MARIO,Variedad,CBN,2009,NO,NO,2*,7+9,5+10,w,s,s,s,-
THEMIX,DON MARIO,Variedad,CBN,2009,NO,NO,2*,7+9,5+10,w,w,w,s,-
BIOINTA 1001,INTA,Variedad,CBN,2009,NO,SI,1,7+9,5+10,w,s,s,i,-
BIOINTA 1002,INTA,Variedad,CBN,2009,NO,NO,1,7+9,5+10,w,w,s,s,-
BIOINTA 1004,INTA,Variedad,CBN,2009,NO,NO,2*,7+8,5+10,s,w,w,s,-
BIOINTA 1005,INTA,Variedad,CBN,2009,NO,NO,2*,7+9,5+10,w,s,s,i,-
BIOINTA 1006,INTA,Variedad,CBN,2009,NO,NO,1,7+9,5+10,w,s,s,i,-
BIOINTA 2002,INTA,Variedad,CBN,2009,NO,NO,2*,17+18,5+10,w,s,w,i,-
BIOINTA 2004,INTA,Variedad,CBN,2009,SI,NO,2*,7+8,5+10,w,w,w,s,+
BIOINTA 3000,INTA,Variedad,CBN,2009,NO,NO,1,7oe+8,5+10,s,s,w,s,+
BIOINTA 3004,INTA,Variedad,CBN,2009,NO,SI,2*,7+9,5+10,s,s,s,s,-
BIOINTA 3005,INTA,Variedad,CBN,2009,NO,NO,nulo,7+8,4+12,w,w,w,s,-
CARPINCHO,KLEIN,Variedad,CBN,2009,NO,SI,1,7+9,5+10,w,s,s,s,+
GAVILAN,KLEIN,Variedad,CBN,2009,NO,SI,2*,7+9,5+10,s,w,s,s,-
GUERRERO,KLEIN,Variedad,CBN,2009,NO,SI,1,7+8,5+10,w,s,s,s,+
LEON,KLEIN,Variedad,CBN,2009,NO,NO,,7+8,5+10,w,s,w,i,-
NUTRIA,KLEIN,Variedad,CBN,2009,NO,SI,nulo,7+9,5+10,w,s,w,i,+
PANTERA,KLEIN,Variedad,CBN,2009,NO,NO,2*,7+9,5+10,w,w,s,s,-
TAURO,KLEIN,Variedad,CBN,2009,NO,NO,1,7oe+8,5+10,w,s,s,i,+
TIGRE,KLEIN,Variedad,CBN,2009,NO,SI,1,7+9,5+10,w,s,s,i,+
YARARA,KLEIN,Variedad,CBN,2009,NO,NO,nulo,7+9,5+10,w,s/w,s,s,-
ZORRO,KLEIN,Variedad,CBN,2009,NO,SI,2*,7+9,5+10,w,w,s,i,-
BAGUETTE 9,NIDERA,Variedad,CBN,2009,NO,NO,2*,14+15,5+10,s*,w,s,i,-
BAGUETTE 10,NIDERA,Variedad,CBN,2009,NO,NO,nulo,6+8,5+10,s*,w,w,i,-
BAGUETTE 11,NIDERA,Variedad,CBN,2009,NO,NO,2*,7+8,5+10,s*,w,w,i,-
BAGUETTE 17,NIDERA,Variedad,CBN,2009,NO,NO,nulo,6-7+8,5+10,s,w,w,i,-
