Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Ppd-D1,Lr34
ACA 202,ACA,Variedad,CBN,2010,CS,NO,NO,2*,7+9,5+10,s,i,-
ACA 320,ACA,Variedad,CBN,2010,CNN,NO,NO,2*?,7+8,5+10,w,i,-
55 CL,BUCK,Variedad,CBN,2010,CNN?,NO,NO,2*,7+9,5+10,s,i,-
AGP FAST,BUCK,Variedad,CBN,2010,CS,NO,NO,,13+16/14+15,5+10,s,s,-
MANGRULLO,BUCK,Variedad,CBN,2010,CS,NO,NO,1,17+18,5+10,w,s,-
SY 100,SYNGENTA,Variedad,CBN,2010,CS,NO,NO,2*,6+8,5+10,s*,i,-
SY 200,SYNGENTA,Variedad,CBN,2010,CS,NO,NO,2*,6+8,5+10,w,i,-
SY 300,SYNGENTA,Variedad,CBN,2010,CS,NO,NO,2*,6+8,5+10,s*,i,-
AREX,DON MARIO,Variedad,CBN,2010,CS,NO,NO,2*,7+9,5+10,w,s,-
THEMIX,DON MARIO,Variedad,CBN,2010,CS,NO,NO,2*,7+9,5+10,w,s,-
BIOINTA 1004,INTA,Variedad,CBN,2010,CS,NO,NO,2*,7+8,5+10,s?,s,-
BIOINTA 1005,INTA,Variedad,CBN,2010,CS,NO,NO,2*,7+9?,5+10,w,i,-
BIOINTA 1006,INTA,Variedad,CBN,2010,CS,NO,NO,1,7+9,5+10,w,i,-
BIOINTA 2004,INTA,Variedad,CBN,2010,CS,NO,NO,2*,7+8,5+10,w,s,-
BIOINTA 2005,INTA,Variedad,CBN,2010,CS,NO,SI?,2*,7+9,5+10,w,i,-
BIOINTA 3000,INTA,Variedad,CBN,2010,CS,NO,NO,1,7+8,5+10,s,s,+
BIOINTA 3004,INTA,Variedad,CBN,2010,CS,NO,SI,2*,7+9,5+10,w,s,-
BIOINTA 3005,INTA,Variedad,CBN,2010,CS,NO,NO,2*,7+8,4+12,w,s,H
GLADIADOR,KLEIN,Variedad,CBN,2010,CNN,NO,SI,1,7+9,5+10,w,s,-
LEON,KLEIN,Variedad,CBN,2010,CS,NO,NO,nulo,7+9,2+12,w,i,-
NUTRIA,KLEIN,Variedad,CBN,2010,CS,NO,SI,2*,7+9,5+10,w,i,-
RAYO,KLEIN,Variedad,CBN,2010,CS,NO,SI,2*,7+8,5+10,w,i,-
YARARA,KLEIN,Variedad,CBN,2010,CS,NO,NO,2*,7+9,5+10,w,s,+
BAGUETTE 9,NIDERA,Variedad,CBN,2010,CS,NO,NO,2*,7+8?,5+10,s*,i,-
BAGUETTE 11,NIDERA,Variedad,CBN,2010,CS,NO,NO,2*,6+8,5+10,s*,i,-
