Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-D1,Lr34
ACA 320,ACA,Variedad,CBN,2011,CNN,NO,NO,2*,7oe+8,5+10,w,s,s,Sensible,-
ACA 905,ACA,Variedad,CBN,2011,CS,NO,NO,1,7+9,5+10,w,s,s,Inensible,-
ACA 906,ACA,Variedad,CBN,2011,CS,NO,SI,1,7+9,5+10,w,w,s,Inensible,+
ACA 907,ACA,Variedad,CBN,2011,CS,NO,NO,2*,7+8,5+10,s,w,s,Inensible,-
AGP 127,BUCK,Variedad,CBN,2011,CNN,NO,NO,2*/nulo,7+9,2+12,w,w,w,Sensible,-
AGP FAST,BUCK,Variedad,CBN,2011,CS,NO,NO,1,13+16,5+10,s,w,w,Sensible,-
SY 100,SYNGENTA,Variedad,CBN,2011,CS,NO,NO,2*,6+8,5+10,s*,,w,Sensible,
SY 110,SYNGENTA,Variedad,CBN,2011,CS,NO,NO,2*,6+8,5+10,s*,w,w,Inensible,-
SY 200,SYNGENTA,Variedad,CBN,2011,CS,NO,NO,2*,6+8,5+10,w,w,s,Inensible,-
SY 300,SYNGENTA,Variedad,CBN,2011,CS,NO,NO,2*,6+8,5+10,s*,w,w,Sensible,-
AREX,DON MARIO,Variedad,CBN,2011,CS,SI,NO,2*,7+9,5+10,w,s,s,Sensible,-
LENOX,DON MARIO,Variedad,CBN,2011,CS,NO,NO,2*,7+8,5+10,w,w,w,Inensible,+
BIOINTA 1004,INTA,Variedad,CBN,2011,CS,NO,NO,2*,7+8,5+10,s,w,w,Sensible,-
BIOINTA 1005,INTA,Variedad,CBN,2011,CS,NO,NO,2*,7+9,5+10,w,s,s,Inensible,-
BIOINTA 1006,INTA,Variedad,CBN,2011,CS,NO,NO,1,7+9,5+10,w,s,s,Inensible,-
BIOINTA 2004,INTA,Variedad,CBN,2011,CS,SI,NO,2*,7+8,5+10,w,w,w,Sensible,+
BIOINTA 2005,INTA,Variedad,CBN,2011,CS,NO,SI,2*,7+9,5+10,w,s,w,Inensible,-
BIOINTA 2006,INTA,Variedad,CBN,2011,CS,NO,NO,2*,7oe+8,5+10,w,w,s,Sensible,-
BIOINTA 3004,INTA,Variedad,CBN,2011,CS,NO,SI,2*,7+9,5+10,w,H,s,Sensible,-
BIOINTA 3005,INTA,Variedad,CBN,2011,CS,NO,NO,2*/nulo,7+8,2+12,w,w,w,Sensible,-
LEON,KLEIN,Variedad,CBN,2011,CS,NO,NO,2*/nulo,7+9,2+12,w,s,w,Inensible,-
RAYO,KLEIN,Variedad,CBN,2011,CS,NO,SI,2*,7oe+8,5+10,w,s,w,Inensible,-
YARARA,KLEIN,Variedad,CBN,2011,CS,NO,NO,2*,7+9,5+10,w,s,s,Inensible,-
ZORRO,KLEIN,Variedad,CBN,2011,CS,NO,SI,2*,7+9,5+10,w,w,s,Inensible,-
BAGUETTE 11,NIDERA,Variedad,CBN,2011,CS,NO,NO,2*,7+8,5+10,s*,w,w,Inensible,-
BAGUETTE 17,NIDERA,Variedad,CBN,2011,CS,NO,NO,2*,7+8/7+9,5+10,s,w,w,Inensible,-
BAGUETTE 21,NIDERA,Variedad,CBN,2011,CS,NO,NO,2*/nulo,7+9,2+12,w,w,w,Inensible,-
BAGUETTE 30,NIDERA,Variedad,CBN,2011,CS,NO,NO,2*/nulo,7oe+8,2+12,s,s,w,Sensible,-
BAGUETTE 31,NIDERA,Variedad,CBN,2011,CS,NO,NO,2*,7,5+10,w,w,w,Sensible,-
LE 2330,RELMO,Variedad,CBN,2011,CS,NO,NO,1,7+8,5+10,s,w,s,Sensible,+
LE 2331,RELMO,Variedad,CBN,2011,CS,NO,NO,1/2*,17+18,5+10,w,s,w,Inensible,-
LE 2333,RELMO,Variedad,CBN,2011,CS,NO,SI,2*,7+9,5+10,w,w,s,Inensible,-
LE 2341,RELMO,Variedad,CBN,2011,CS,NO,SI,2*,7+9,5+10,w,w,w,Inensible,-
LE 2357,RELMO,Variedad,CBN,2011,CS,NO,NO,nulo,7+9,5+10,w,w,s,Inensible,+
NOGAL,SURSEM,Variedad,CBN,2011,CS,NO,NO,2*,7+8,5+10,w,w,w,Inensible,-
NOGAL 100,SURSEM,Variedad,CBN,2011,CS,NO,NO,nulo,7+9,5+10,w,w,w,Inensible,-
ARCHE,,Variedad,CBN,2011,CS,NO,NO,2*/nulo,7+9,2+12,w,w,w,Inensible,-
AUBUSSON,,Variedad,CBN,2011,CS,NO,NO,nulo,7oe+9,5+10,w,w,w,Sensible,-
AUTAN,,Variedad,CBN,2011,CS,NO,NO,1,17+18,5+10,w,w,w,Inensible,-
CUTTER,,Variedad,CBN,2011,CS,NO,NO,1,17+18,5+10,w,w,w,Sensible,-
GALIBIER,,Variedad,CBN,2011,CS,NO,NO,1,7,5+10,w,w,w,Inensible,-
ISENGRAIN,,Variedad,CBN,2011,CS,NO,NO,nulo,7+8,5+10,w,w,w,Inensible,-
MENDEL,,Variedad,CBN,2011,CS,NO,NO,2*/nulo,7oe+9,5+10,w,w,w,Sensible,-
ORVANTIS,,Variedad,CBN,2011,CS,NO,NO,1,6+8,2+12,w,w,w,Inensible,-
TREMIE,,Variedad,CBN,2011,CS,NO,NO,2*/nulo,6+8,2+12,w,w,w,Sensible,-
B13608,INTA Balcarce,Linea,CBN,2011,CS,NO,NO,1,7oe+8,5+10,s,s,w,Sensible,H
B17108,INTA Balcarce,Linea,CBN,2011,CS,NO,SI,1,7+9,5+10,w,H,s,Inensible,-
J08019,INTA Marcos Juarez,Linea,CBN,2011,CS,NO,NO,1,7+9,5+10,w,s,s,Inensible,-
JN08011,INTA Saenz Peña,Linea,CBN,2011,CS,NO,NO,2*,7+9,5+10,w,s,w,Inensible,-
JN08021,INTA Saenz Peña,Linea,CBN,2011,CS,NO,NO,2*,7+9,5+10,w,s,s,Inensible,+
PO5115,INTA Pergamino,Linea,CBN,2011,CS,NO,NO,2*,7+9,5+10,w,s,s,Inensible,H
P05156,INTA Pergamino,Linea,CBN,2011,CS,NO,NO,2*,7+8,5+10,w,s,w,Sensible,-
P05409,INTA Pergamino,Linea,CBN,2011,CS,NO,NO,2*,7+9,5+10,w,s,s,Inensible,+
T00185,INTA Parana,Linea,CBN,2011,CS,NO,NO,1,7+8,5+10,w,w,w,Sensible,-
T00203,INTA Parana,Linea,CBN,2011,CS,NO,NO,1,7+8,5+10,w,w,w,Sensible,-
T00226,INTA Parana,Linea,CBN,2011,CS,NO,NO,1,7+9,5+10,w,w,s,Inensible,-
V00924,INTA Bordenave,Linea,CBN,2011,CS,NO,NO,2*,17+18,5+10,w,s,s,Sensible,-
W06005,INTA Barrow,Linea,CBN,2011,CNN,NO,NO,2*/nulo,7+9,2+12,w,s,s,Sensible,-
W07004,INTA Barrow,Linea,CBN,2011,CNN,NO,NO,1,17+18,5+10,w,w,w,Sensible,-
W08033,INTA Barrow,Linea,CBN,2011,CNN,NO,NO,1/2*,7+8/7+9,5+10,s,w,w,Inensible,-
