Linea,Criadero,Status,Origen,Año,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-B1,Ppd-D1,Lr34
ACA 315,ACA,Variedad,CBN,2012,NO,NO,2*,7+8,5+10,w,w,s,s,s,-
ACA 356,ACA,Variedad,CBN,2012,NO,NO,2*,7+8?,5+10,s,s,w,s,s,+
ACA 906,ACA,Variedad,CBN,2012,NO,SI,1,7+9,5+10,w,w,s,s,i,+
CIPRES,ACA,Variedad,CBN,2012,NO,NO,1,7+8?,5+10,w,w,w,s,i,-
AGP 127,BUCK,Variedad,CBN,2012,NO,NO,2*/nulo,7+9,2+12,w,w,w,i,s,-
BRASIL,BUCK,Variedad,CBN,2012,NO,NO,1,7+8,5+10,s,s,w,s,s,+
GLUTINO,BUCK,Variedad,CBN,2012,NO,SI?,2*,7+8?,5+10,w,s,w,i,s,-
PLENO,BUCK,Variedad,CBN,2012,NO,NO,2*,7+8?,5+10,w,s,w,s,i,-
SY 100,SYNGENTA,Variedad,CBN,2012,NO,NO,2*,6+8,5+10,s*,w,w,i,s,+
SY 110,SYNGENTA,Variedad,CBN,2012,NO,NO,2*,6+8,5+10,s*,w,w,s,i,-
SY 200,SYNGENTA,Variedad,CBN,2012,NO,NO,2*,6+8,5+10,w,w,s,s,i,-
SY 300,SYNGENTA,Variedad,CBN,2012,NO,NO,2*,6+8,5+10,s*,w,w,s,i,-
AREX,DON MARIO,Variedad,CBN,2012,SI,NO,2*,7+9,5+10,w,s,s,i,s,-
LENOX,DON MARIO,Variedad,CBN,2012,NO,NO,2*,7+8,5+10,w,w,w,s,i,+
LYON,DON MARIO,Variedad,CBN,2012,NO,NO,1,7+8?,5+10,w,w,w,s,i,-
BIOINTA 1004,INTA,Variedad,CBN,2012,NO,NO,2*,7+8,5+10,s,w,w,i,s,-
BIOINTA 1005,INTA,Variedad,CBN,2012,NO,NO,2*,7+9,5+10,w,s,s,s,i,-
BIOINTA 1006,INTA,Variedad,CBN,2012,NO,NO,1,7+9,5+10,w,s,s,s,i,-
BIOINTA 1007,INTA,Variedad,CBN,2012,NO,NO,2*,7+9,5+10,w,s,s,s,i,+
BIOINTA  2004,INTA,Variedad,CBN,2012,SI,NO,2*,7+8,5+10,w,w,w,i,s,+
BIOINTA  2006,INTA,Variedad,CBN,2012,NO,NO,2*,7oe+8,5+10,w,w,s,i,s,-
BIOINTA  2007,INTA,Variedad,CBN,2012,NO,SI,2*,7+9,5+10,w,s,w,s,i,-
BIOINTA  3005,INTA,Variedad,CBN,2012,NO,NO,2*/nulo,7+8,2+12,w,w,w,i,s,-
BIOINTA  3006,INTA,Variedad,CBN,2012,NO,NO,1,7+8?,5+10,s*,w,w,i,s,-
PROTEO,KLEIN,Variedad,CBN,2012,NO,NO,2*,7+9,5+10,w,s,s,s,s,-
RAYO,KLEIN,Variedad,CBN,2012,NO,SI,2*,7oe+8,5+10,w,s,w,s,i,-
ROBLE,KLEIN,Variedad,CBN,2012,NO,SI,1,7+8?,5+10,w,s,s,s,i,-
YARARA,KLEIN,Variedad,CBN,2012,NO,NO,2*,7+9,5+10,w,s,s,s,s,-
ZORRO,KLEIN,Variedad,CBN,2012,NO,NO,2*,7+9,5+10,w,w,s,s,i,-
BAGUETTE 11,NIDERA,Variedad,CBN,2012,NO,NO,2*,7+8,5+10,s*,w,w,s,i,-
BAGUETTE 501,NIDERA,Variedad,CBN,2012,NO,NO,nulo,7+8?,5+10,s,w,w,s,i,-
BAGUETTE 601,NIDERA,Variedad,CBN,2012,NO,NO,1,7+8?,5+10,w,s,w,s,i,-
BAGUETTE 801,NIDERA,Variedad,CBN,2012,NO,NO,1,7+8?,5+10,w,s,s,s,s,-
FLORIPAN 100,AG SEED,Variedad,CBN,2012,NO,NO,1,7+8?,5+10,w,s,s,s,i,+
FLORIPAN 200,AG SEED,Variedad,CBN,2012,NO,NO,2*,7+9,5+10,w,s,s,s,s,H
FLORIPAN 300,AG SEED,Variedad,CBN,2012,NO,SI,2*,7+9,5+10,w,s,s,s,s,-
LE 2330,RELMO,Variedad,CBN,2012,NO,NO,1,7+8,5+10,s,w,s,s,s,+
NOGAL,SURSEM,Variedad,CBN,2012,NO,NO,2*,7+8,5+10,w,w,w,s,i,-
NOGAL 100,SURSEM,Variedad,CBN,2012,NO,NO,nulo,7+9,5+10,w,w,w,s,i,-
