Linea,Criadero,Status,Origen,Año,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-B1,Ppd-D1,Lr34
ACA 303 PLUS,ACA,Variedad,CBN,2015,NO,2*,7+8,5+10,w,s,s,s,s,-
ACA 307,ACA,Variedad,CBN,2015,NO,2*,7+8,5+10,w,w,w,s,i,-
ACA 320,ACA,Variedad,CBN,2015,NO,2*?,7oe+8,5+10,w,s,s,s,s,-
ACA 360,ACA,Variedad,CBN,2015,NO,2*?,7+8,5+10,w,s,s,s,s,-
ACA 602,ACA,Variedad,CBN,2015,NO,2*,7+8,5+10,w,s,w,s,i,H
ACA 908,ACA,Variedad,CBN,2015,NO,2*,7oe+8,5+10,s*,s,s,s,i,-
ACA 909,ACA,Variedad,CBN,2015,NO,2*,7+9,5+10,w,s,w,s,i,+
ACA 910,ACA,Variedad,CBN,2015,NO,2*,7oe+8,5+10,s*,w,s,s,i,-
CEDRO,ACA,Variedad,CBN,2015,NO,2*,7+8,5+10,w,,w,s,,-
TIMBO,BIOCERES,Variedad,CBN,2015,NO,nulo,6+8,5+10,w,w,w,s,i,-
BELLACO,BUCK,Variedad,CBN,2015,SI,1,7oe+8,5+10,s,w,w,s,s,-
SAETA,BUCK,Variedad,CBN,2015,NO,2*,14+15,5+10,w,s,s,s,i,-
SY 015,SYNGENTA,Variedad,CBN,2015,NO,nulo,13+16,5+10,w,w,w,s,i,-
SY 211,SYNGENTA,Variedad,CBN,2015,NO,2*,7+8,5+10,w,w,s,s,i,-
SY 300,SYNGENTA,Variedad,CBN,2015,NO,2*,6+8,5+10,s*,w,w,s,i,-
SY 330,SYNGENTA,Variedad,CBN,2015,NO,nulo,7+8,5+10,w,s,w,s,i,-
ALGARROBO,DON MARIO,Variedad,CBN,2015,NO,2*,13+16,5+10,w,w,w,s,i,-
CAMBIUM,DON MARIO,Variedad,CBN,2015,NO,2*,7oe+8,5+10,w,s,s,s,i,-
CEIBO,DON MARIO,Variedad,CBN,2015,NO,1,7+8,5+10,w,s,s,s,s,-
FUSTE,DON MARIO,Variedad,CBN,2015,NO,1,7+9,5+10,w,w,s,i,i,-
LENGA,DON MARIO,Variedad,CBN,2015,NO,nulo,7+8,2+12,w,w,w,s,i,-
MS INTA 815,INTA,Variedad,CBN,2015,NO,2*?,7,5+10,w,s,s,s,s,H
MS INTA 514,INTA,Variedad,CBN,2015,NO,nulo,7oe+8,5+10,s,w,w,s,s,-
FLAMENCO,KLEIN,Variedad,CBN,2015,SI,1,7+9,5+10,s*,s,w,s,s,-
GLADIADOR,KLEIN,Variedad,CBN,2015,SI,1,7+9,5+10,w,w,s,s,i,-
LIEBRE,KLEIN,Variedad,CBN,2015,SI,2*,7+9,5+10,w,w,s,s,s,-
SERPIENTE,KLEIN,Variedad,CBN,2015,NO,1,7oe+8,5+10,w,s,s,s,i,-
TITANIO ,KLEIN,Variedad,CBN,2015,SI?,1,7+9,5+10,w,s,s,s,s,-
ALHAMBRA,LIMAGREIN,Variedad,CBN,2015,NO,nulo,7+9,5+10,w,s,,s,i,-
AVISO,MERCOSEED,Variedad,CBN,2015,NO,1,7+8,2+12,w,w,,s,i,-
GARDELL,MERCOSEED,Variedad,CBN,2015,NO,1,7+9,5+10,w,w,w,s,i,-
BAGUETTE 802,NIDERA,Variedad,CBN,2015,NO,nulo,7+8,5+10,w,w,w,s,i,-
LAPACHO,SURSEM,Variedad,CBN,2015,NO,nulo,7+8,5+10,w,w,w,s,i,-
VIRGILE,SURSEM,Variedad,CBN,2015,NO,nulo,6+8,5+10,w,w,s,s,i,-
NOGAL,SURSEM,Variedad,CBN,2015,NO,2*,7+8,5+10,w,w,w,s,i,-
T00243,INTA,Linea,CBN,2015,NO,nulo,6+8/7oe?,5+10,w,w,s,s,i,-
B16208,INTA,Linea,CBN,2015,NO,nulo,6+8,2+12,w,w,s,s,s,-
W10024,INTA,Linea,CBN,2015,NO,nulo,7+9,2+12,s,s,s,s,s,-
J12001,INTA,Linea,CBN,2015,NO,2*,7+8?,5+10,w,s,s,i,s,-
B02031,INTA,Linea,CBN,2015,NO,2*,7+8?,5+10,w,s,w,s,i,-
J13003,INTA,Linea,CBN,2015,NO,2*,7+8?,5+10,s*,w,w,s,i,-
J13011,INTA,Linea,CBN,2015,NO,2*,7+8?,5+10,s*,w,w,s,i,-
P06020,INTA,Linea,CBN,2015,NO,1,7oe+8,5+10,w,w,s,i,s,-
P06157,INTA,Linea,CBN,2015,SI,2*,7+9,5+10,w,s,s,s,i,-
T00282,INTA,Linea,CBN,2015,NO,2*,7+9,5+10,w,s,w,s,i,
T00283,INTA,Linea,CBN,2015,NO,2*,7+8,5+10,w,w,s,s,i,-
V00980,INTA,Linea,CBN,2015,NO,2*,7oe+8,5+10,w,s?,w,s,s,-
W11008,INTA,Linea,CBN,2015,NO,1,17+18,5+10,s,w,w,i,s,+
W12047,INTA,Linea,CBN,2015,SI,2*,7+9,5+10,w,w,s,s,i,-
BASILIO,BIOCERES,Variedad,CBN,2015,NO,2*,6+8,5+10,w,w,s,s,i,-
