Nombre,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
ACA 223,ACA,Variedad,CBS,2005,CS,NO,SI,1,7+9,5+10
ACA 302,ACA,Variedad,CBS,2005,CNN,NO,NO,2',7+8,5+10
ACA 303,ACA,Variedad,CBS,2005,CNN,NO,NO,2*,7+8,5+10
ACA 304,ACA,Variedad,CBS,2005,CNN,NO,NO,2',7+8,5+10
ACA 601,ACA,Variedad,CBS,2005,CNN,NO,NO,2*,7+8,5+10?
ACA 801,ACA,Variedad,CBS,2005,CS,NO,NO,2*,7+9,5+10
BAGUETTE 21,NIDERA,Variedad,CBS,2005,CS,NO,NO,2*/nulo,7+9,2+12
BAGUETTE 10,NIDERA,Variedad,CBS,2005,CS,NO,NO,nulo,6+8,5+10
BAGUETTE 19,NIDERA,Variedad,CBS,2005,CS,NO,NO,nulo,14+15,5+10
BAGUETTE 20,NIDERA,Variedad,CBS,2005,CS,NO,NO,2*,7+8,5+10
BAGUETTE 11,NIDERA,Variedad,CBS,2005,CS,NO,NO,2*,7+8,5+10
BAGUETTE 13,NIDERA,Variedad,CBS,2005,CS,NO,NO,2*,14+15,5+10
BAGUETTE SUR 5,NIDERA,Variedad,CBS,2005,CS,NO,NO,2*/nulo,6+8,2+12
BON. INTA PASUCO,INTA,Variedad,CBS,2005,CNN,NO,NO,2*/nulo,7+8,2+12
BIOINTA 1000,INTA,Variedad,CBS,2005,CNN,NO,NO,1,7+8,5+10
BIOINTA 1001,INTA,Variedad,CBS,2005,CS,NO,SI,1,7+9,5+10
BIOINTA 1002,INTA,Variedad,CBS,2005,CS,NO,NO,1,7+9,5+10
BIOINTA 1003,INTA,Variedad,CBS,2005,CS,NO,NO,2*,7+9,5+10
BIOINTA B. 2001,INTA,Variedad,CBS,2005,CNN,NO,NO,2*,7+8,5+10
BIOINTA 3000,INTA,Variedad,CBS,2005,CS,NO,NO,1,7+8,5+10
BIOINTA 3003,INTA,Variedad,CBS,2005,CS,NO,NO,2*,7+9,5+10
BUCK 240846#1,BUCK,Linea,CBS,2005,CS,NO,NO,1,7+8,5+10
AGUARA,BUCK,Variedad,CBS,2005,CNN,NO,NO,2*,17+18,5+10
ARRIERO,BUCK,Variedad,CBS,2005,CS,NO,NO,1,7+8,5+10
BIGUA ,BUCK,Variedad,CBS,2005,CS,NO,NO,1,7+8,5+10
BRASIL,BUCK,Variedad,CBS,2005,CS,NO,NO,1,7+8,5+10
CHACARERO,BUCK,Variedad,CBS,2005,CNN,NO,NO,2*,17+18,5+10
GUAPO,BUCK,Variedad,CBS,2005,CS,NO,SI,1/2*,7+8,5+10
GUATIMOZIN,BUCK,Variedad,CBS,2005,CNN,NO,NO,2*,7+8,5+10
MATACO,BUCK,Variedad,CBS,2005,CS,NO,NO,1,17+18,5+10
MEJORPAN,BUCK,Variedad,CBS,2005,CNN,NO,NO,2*,7+8,5+10
PANADERO,BUCK,Variedad,CBS,2005,CS,NO,NO,2*,7+8,5+10
PINGO,BUCK,Variedad,CBS,2005,CNN,NO,NO,1,17+18,5+10
PONCHO,BUCK,Variedad,CBS,2005,CNN,NO,NO,2*,7+8,5+10
PRONTO,BUCK,Variedad,CBS,2005,CS,NO,NO,2*,7+8,5+10
SUREÑO,BUCK,Variedad,CBS,2005,CS,NO,SI,2*,7+8,5+10
CAUDILLO,BUCK,Variedad,CBS,2005,CS,NO,NO,2*,7+8,5+10
CRONOX,DON MARIO,Variedad,CBS,2005,CS,NO,NO,2*,7+9,5+10
GREINA,,Variedad,CBS,2005,CS,NO,NO,2*,7+9,5+10
INIA CONDOR,INIA,Variedad,CBS,2005,CS,NO,NO,2*,7+8/9,5+10
INIA CHURRINCHE,INIA,Variedad,CBS,2005,CS,NO,NO,2*,7+8,5+10
INIA TORCAZA,INIA,Variedad,CBS,2005,CS,NO,NO,2*,17+18,5+10
CAPRICORNIO,KLEIN,Variedad,CBS,2005,CS,NO,NO,2*,7+8,5+10
CASTOR,KLEIN,Variedad,CBS,2005,CS,NO,NO,1,7+8,5+10
CHAJA,KLEIN,Variedad,CBS,2005,CS,NO,SI,2*,17+18,5+10
DON ENRIQUE,KLEIN,Variedad,CBS,2005,CS,NO,SI,2*,17+18,5+10
ESCORPION,KLEIN,Variedad,CBS,2005,CS,NO,SI,1,7+9,5+10
ESCUDO ,KLEIN,Variedad,CBS,2005,CS,NO,SI,2*,7+9,5+10
FLECHA,KLEIN,Variedad,CBS,2005,CS,NO,SI,2*,7+8,5+10
GAVILAN,KLEIN,Variedad,CBS,2005,CS,NO,SI,2*,7+9,5+10
JABALI,KLEIN,Variedad,CBS,2005,CS,NO,NO,2*,7+8,5+10
MARTILLO,KLEIN,Variedad,CBS,2005,CNN,NO,SI,2*,7+9,5+10
PROTEO,KLEIN,Variedad,CBS,2005,CS,NO,NO,1,7+9,5+10
SAGITARIO,KLEIN,Variedad,CBS,2005,CS,NO,SI,1,7+8,5+10
TAURO,KLEIN,Variedad,CBS,2005,CS,NO,SI,1,7+8,5+10
ONIX,DON MARIO,Variedad,CBS,2005,CS,NO,NO,2*,7+9,5+10
PROINTA DON UMBERTO,INTA,Variedad,CBS,2005,CS,NO,SI,2*,7+9,5+10
PROINTA GAUCHO,INTA,Variedad,CBS,2005,CS,NO,SI,1,7+9,5+10
PROINTA GRANAR,INTA,Variedad,CBS,2005,CS,NO,SI,2*,13+16,5+10
PROINTA MOLINERO,INTA,Variedad,CBS,2005,CS,NO,NO,1,7+8,5+10
PROINTA PUNTAL,INTA,Variedad,CBS,2005,CS,SI,NO,2*,7+8,5+10
ZORZAL ,,Variedad,CBS,2005,CS,NO,NO,2*,7+9,5+10
W99020,INTA Barrow,Linea,CBS,2005,CS,NO,NO,2*,7+8,5+10
W01006,INTA Barrow,Linea,CBS,2005,CS,NO,NO,2*,7+8,5+10
W01041,INTA Barrow,Linea,CBS,2005,CNN,NO,NO,2*,7+8,5+10
W03003,INTA Barrow,Linea,CBS,2005,CS,NO,NO,1,7+8,5+10
W03004,INTA Barrow,Linea,CBS,2005,CS,NO,NO,1,7+8,5+10
W03010,INTA Barrow,Linea,CBS,2005,CNN,NO,NO,2*,17+18,5+10
W03011,INTA Barrow,Linea,CBS,2005,CS,NO,NO,2*,17+18,5+10
W03013,INTA Barrow,Linea,CBS,2005,CS,NO,NO,2*,17+18,5+10
W03014,INTA Barrow,Linea,CBS,2005,CNN,NO,NO,2*,7+8,5+10
W03015,INTA Barrow,Linea,CBS,2005,CNN,NO,NO,2*,7+8,5+10
W03018,INTA Barrow,Linea,CBS,2005,CNN,NO,NO,1,7+8,5+10
W03019,INTA Barrow,Linea,CBS,2005,CNN,NO,NO,2*,7+9,5+10
W03020,INTA Barrow,Linea,CBS,2005,CS,NO,NO,2*,7+9,5+10
W03021,INTA Barrow,Linea,CBS,2005,CS,NO,NO,1,7+8,5+10
V00723,INTA Bordenave,Linea,CBS,2005,CS,NO,NO,1,7+8,5+10
B15100,INTA Balcarce,Linea,CBS,2005,CNN,NO,NO,2*,7+9,5+10
B16401,INTA Balcarce,Linea,CBS,2005,CS,NO,NO,2*,7+9,5+10
INIA GORRION,INIA,Variedad,CBS,2005,CS,NO,NO,2*,7+9,5+10
INIA TIJERETA,INIA,Variedad,CBS,2005,CS,NO,NO,2*,17+18,5+10
INIA TORCAZA,INIA,Variedad,CBS,2005,CS,NO,NO,2*,17+18,5+10
KINACI,,Variedad,CBS,2005,CS,NO,NO,2*,7+9,5+10
B16099,INTA Balcarce,Linea,CBS,2005,CS,NO,SI,2*,7+9,5+10
B20499,INTA Balcarce,Linea,CBS,2005,CS,NO,NO,2*,7+8,5+10
B22499,INTA Balcarce,Linea,CBS,2005,CS,NO,NO,1,7+8,5+10
B23199,INTA Balcarce,Linea,CBS,2005,CS,NO,NO,1,7+8,5+10
B23299,INTA Balcarce,Linea,CBS,2005,CS,NO,NO,1,7+8,5+10
B11000,INTA Balcarce,Linea,CBS,2005,CNN,NO,SI,2*,7+9,5+10
B12800,INTA Balcarce,Linea,CBS,2005,CS,NO,NO,2*,7+9,5+10
B10901,INTA Balcarce,Linea,CBS,2005,CS,NO,NO,2*,7+8,5+10
B11001,INTA Balcarce,Linea,CBS,2005,CS,NO,SI,2*,7+9,5+10
B11301,INTA Balcarce,Linea,CBS,2005,CS,NO,SI,1/2*,7+8/17+18,5+10
B07302,INTA Balcarce,Linea,CBS,2005,CNN,NO,NO,2*,7+8,5+10
B08302,INTA Balcarce,Linea,CBS,2005,CNN,NO,SI,2*,7+9,5+10
B08802,INTA Balcarce,Linea,CBS,2005,CS,NO,SI,1,7+9,5+10
B12702,INTA Balcarce,Linea,CBS,2005,CS,NO,SI,2*,17+18,5+10
B13002,INTA Balcarce,Linea,CBS,2005,CS,NO,SI,2*,7+9,5+10
B13202,INTA Balcarce,Linea,CBS,2005,CS,NO,NO,2*,7+8,5+10
DRONG HORN,,Variedad,CBS,2005,CS,NO,NO,1/2*,7+9,5+10
GOOD STREAK,,Variedad,CBS,2005,CS,NO,NO,2*,7+9,5+10
MILLENIUM,,Variedad,CBS,2005,CNN,NO,NO,2*/nulo,7+9,2+12
PINCEN PELON,,Variedad,CBS,2005,CS,NO,NO,2*,7+8/17+18,5+10
PROINTA COLIBRI,INTA,Variedad,CBS,2005,CS,NO,NO,1,7+8,5+10
V00328,INTA Bordenave,Linea,CBS,2005,CS,NO,NO,2*,17+18,5+10
V00703,INTA Bordenave,Linea,CBS,2005,CS,NO,SI,2*/nulo,7+8,2+12
V00713,INTA Bordenave,Linea,CBS,2005,CS,NO,SI,2*,7+8,5+10
V00770,INTA Bordenave,Linea,CBS,2005,CS,NO,SI,2*,7+8,5+10
V00817,INTA Bordenave,Linea,CBS,2005,CS,NO,NO,2*,17+18,5+10
V00830,INTA Bordenave,Linea,CBS,2005,CS,NO,SI,1,7+9,5+10
V00832,INTA Bordenave,Linea,CBS,2005,CS,NO,NO,1,7+8,5+10
V00833,INTA Bordenave,Linea,CBS,2005,CS,NO,NO,1,7+8,5+10
V00836,INTA Bordenave,Linea,CBS,2005,CS,NO,NO,1,7+8,2+12
V00845,INTA Bordenave,Linea,CBS,2005,CS,NO,NO,1,13+16,2+12
V00846,INTA Bordenave,Linea,CBS,2005,CS,NO,SI,1,7+9,2+12
V00847,INTA Bordenave,Linea,CBS,2005,CS,NO,NO,1,7+9,2+12
V00858,INTA Bordenave,Linea,CBS,2005,CS,NO,NO,1,7+8,5+10
V00860,INTA Bordenave,Linea,CBS,2005,CS,NO,SI,nulo,7+9,5+10
V00867,INTA Bordenave,Linea,CBS,2005,CS,NO,NO,nulo,7+8,5+10
V00870,INTA Bordenave,Linea,CBS,2005,CS,NO,SI,1,7+9,2+12
V00871,INTA Bordenave,Linea,CBS,2005,CNN,NO,NO,2*,7+8,5+10
V00876,INTA Bordenave,Linea,CBS,2005,CS,NO,NO,1,14+15,5+10
