Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
ACA 302                                                     ,ACA,Variedad,CBS,2007,CNN,NO,NO,2*,7+8,5+10
ACA 303                                                     ,ACA,Variedad,CBS,2007,CNN,NO,NO,2*,7+8,5+10
ACA 304                                                     ,ACA,Variedad,CBS,2007,CNN,NO,NO,2',7+8,5+10
ACA 315                                                     ,ACA,Variedad,CBS,2007,CNN,NO,NO,2*,7+8,5+10
ACA 601                                                     ,ACA,Variedad,CBS,2007,CNN,NO,NO,2*,7+8,5+10
ACA 801                                                     ,ACA,Variedad,CBS,2007,CS,NO,NO,2*,7+9,5+10
ACA 901                                                     ,ACA,Variedad,CBS,2007,CS,NO,NO,2*,7+9,5+10
BAGUETTE 21,NIDERA,Variedad,CBS,2007,CS,NO,NO,2*/nulo,7+9,2+12
BAGUETTE 9                                                  ,NIDERA,Variedad,CBS,2007,CS,NO,NO,2*,6+8/14+15,5+10
BAGUETTE 10                                                 ,NIDERA,Variedad,CBS,2007,CS,NO,NO,nulo,6+8,5+10
BAGUETTE 19                                                 ,NIDERA,Variedad,CBS,2007,CS,NO,NO,nulo,14+15,5+10
BAGUETTE 11                                         ,NIDERA,Variedad,CBS,2007,CS,NO,NO,2*,7+8,5+10
BAGUETTE 13                                         ,NIDERA,Variedad,CBS,2007,CS,NO,NO,2*,14+15,5+10
BIOINTA 1000                                                ,INTA,Variedad,CBS,2007,CNN,NO,NO,1,7+8,5+10
BIOINTA 1001                                                ,INTA,Variedad,CBS,2007,CS,NO,SI,1,7+9,5+10
BIOINTA 1002                                                ,INTA,Variedad,CBS,2007,CS,NO,NO,1,7+9,5+10
BIOINTA 1003                                                ,INTA,Variedad,CBS,2007,CS,NO,NO,2*,7+9,5+10
BIOINTA 1004                                                ,INTA,Variedad,CBS,2007,CS,NO,NO,2*,7+8,5+10
BIOINTA 2002                                                ,INTA,Variedad,CBS,2007,CS,NO,NO,2*,17+18,5+10
BIOINTA 3000                                                ,INTA,Variedad,CBS,2007,CS,NO,NO,1,7+8,5+10
BIOINTA 3004                                                ,INTA,Variedad,CBS,2007,CS,NO,SI,2*,7+9,5+10
75 ANIVERSARIO                                         ,BUCK,Variedad,CBS,2007,CS,NO,NO,1,7+8,5+10
ARRIERO                                                ,BUCK,Variedad,CBS,2007,CS,NO,NO,1,7+8,5+10
BAQUEANO                                               ,BUCK,Variedad,CBS,2007,CS,NO,SI,1,7+9,5+10
CHACARERO                                              ,BUCK,Variedad,CBS,2007,CNN,NO,NO,2*,17+18,5+10
GUAPO                                                  ,BUCK,Variedad,CBS,2007,CS,NO,SI,1/2*,7+8,5+10
GUATIMOZIN                                             ,BUCK,Variedad,CBS,2007,CNN,NO,NO,2*,7+8,5+10
MALEVO                                                 ,BUCK,Variedad,CBS,2007,CS,NO,SI,2*,7+8,5+10
NORTEÑO                                                ,BUCK,Variedad,CBS,2007,CNN,NO,SI,2*,7+8,5+10
PUELCHE                                                ,BUCK,Variedad,CBS,2007,CNN,NO,SI,1,7+9,5+10
RANQUEL                                                ,BUCK,Variedad,CBS,2007,CS,NO,SI,2*,7+9,5+10
SUREÑO                                                 ,BUCK,Variedad,CBS,2007,CS,NO,SI,2*,7+8,5+10
INIA CONDOR                                                 ,INIA,Variedad,CBS,2007,CS,NO,SI,2*,7+8/9,5+10
