Linea,Criadero,Status,Origen,Año,CS/CNN,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-D1,Lr34
W07004,INTA Barrow,Linea,CBS,2010,CS,NO,NO,1,17+18,5+10,w,w,w,s,-
W07006,INTA Barrow,Linea,CBS,2010,CS,NO,NO,1,17+18,5+10,w,w,w,s,-
W07007,INTA Barrow,Linea,CBS,2010,CNN,NO,NO,2*,17+18,5+10,s,s,s,i,-
W08002,INTA Barrow,Linea,CBS,2010,CS,NO,NO,2*,7+9,5+10,w,s,w,i,-
W08015,INTA Barrow,Linea,CBS,2010,CS,NO,NO,1,17+18/7+8,5+10,s,s,s,s,-
W08020,INTA Barrow,Linea,CBS,2010,CS,NO,NO,1,7+9,5+10,s,w,w,s,+
W08033,INTA Barrow,Linea,CBS,2010,CNN,NO,NO,nulo,7+8,5+10,s,w,s,i,-
W08036,INTA Barrow,Linea,CBS,2010,CNN,NO,NO,nulo,7+8,5+10,s,w,w,i,-
W08038,INTA Barrow,Linea,CBS,2010,CS,NO,NO,2*/nulo,7oe+8,2+12,w,w,s,i,-
W08041,INTA Barrow,Linea,CBS,2010,CS,NO,NO,2*,7+8,5+10,s,s,w,s,-
W08058,INTA Barrow,Linea,CBS,2010,CS,NO,NO,nulo,7+8,5+10,s,w,w,s,-
W09009,INTA Barrow,Linea,CBS,2010,CNN,NO,NO,1,7+8,2+12,w,s,w,s,-
W09017,INTA Barrow,Linea,CBS,2010,CS,NO,SI,1,7+9,5+10,s,s,w,s,H
W09018,INTA Barrow,Linea,CBS,2010,,NO,,1,7+9,5+10,s/w,w,s,i,-
W09020,INTA Barrow,Linea,CBS,2010,CS,NO,SI,2*,7+9,5+10,,w,s,s,-
W09027,INTA Barrow,Linea,CBS,2010,CS,NO,SI,2*,7+9,5+10,,s,w,s,-
APACHE,,Variedad,CBS,2010,CS,NO,NO,nulo,7+9,2+12,w,w,w,i,-
BOURGOGNE,,Variedad,CBS,2010,CS,NO,NO,2*,7+8,5+10,w,w,w,i,-
ISENGRAIN,,Variedad,CBS,2010,CS,NO,NO,nulo,17+18/7+8,5+10,w,w,w,i,H
JAGALENE,,Variedad,CBS,2010,CS,NO,NO,2*,17+18,5+10,w,w,w,i,+
ARROCO,,Variedad,CBS,2010,CS,NO,NO,1,7+8,5+10,s,w,w,i,-
ALLIANCE,,Variedad,CBS,2010,CS,NO,NO,1,7oe+8,5+10,w,s,s,-,-
CALIFA SUR,,Variedad,CBS,2010,CS,NO,SI,1,7oe+8,5+10,w,s,w,i,-
GALERA,,Variedad,CBS,2010,CS,NO,NO,2*,7oe+8,5+10,s,w,s,i,-
OSADO,,Variedad,CBS,2010,CS,NO,NO,1,7+9,5+10,w,s,s,i,-
BOEMA,,Variedad,CBS,2010,CS,NO,NO,2*,7+8,5+10,s*?,w,w,i,+
DELIVER,,Variedad,CBS,2010,CNN,NO,NO,1,7+8,5+10,w,w,s,i,+
ENDURANCE ,,Variedad,CBS,2010,CS,NO,SI,2*,6+8?,5+10,w,w,w,i,-
OK 05830 ,,Linea,CBS,2010,CS,NO,NO,1/2*,17+18,5+10,w,w,w,s,-
KINGBIRD,,Variedad,CBS,2010,CS,NO,NO,1/2*,17+18/7+8,5+10,w,s,s,i,H
B16406,INTA Balcarce,Linea,CBS,2010,CS,NO,SI,2*,17+9?,5+10,s,s,s,s,-
B18606,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,2*,7oe+8,5+10,w,w,s,s,-
B13907,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,nulo,7+9,5+10,s*,w,w,i,-
B19807,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,?,6+8,5+10,w,w,s,i,-
B17108,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,1,7+9,5+10,w,s,s,i,-
B15706,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,2*,17+18,5+10,w,w,s,i,-
B19706,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,1,7oe+8,5+10,s*,w,w,s,-
B13407,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,1,oe?,5+10,s,w,w,s,+
B14607,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,2*/nulo,7+9,2+12,w,s,s,i,
B20108,INTA Balcarce,Linea,CBS,2010,CS,NO,SI,1,7+9,5+10,w,s,s,i,-
B11805,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,1,7oe+8,5+10,,s,w,s,-
B13608,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,1,7oe+8,5+10,s,s,s,s,-
B14208,INTA Balcarce,Linea,CBS,2010,CNN,NO,SI,2*/nulo,7+8/17+18,2+12,w,s,s,s,-
B28908,INTA Balcarce,Linea,CBS,2010,CS,NO,SI,1/2*,7+8/7oe+8,5+10,s/w,s,H,s,-
B29608,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,2*,6+8,5+10,w,s,s,i,-
B14207,INTA Balcarce,Linea,CBS,2010,CS,NO,SI,2*,7+8,5+10,w,s,s,s,-
B20207,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,nulo,6+8,2+12,w,w,s,s,-
B16208,INTA Balcarce,Linea,CBS,2010,CS,NO,NO,1,7+8,5+10,s*,w,s,s,-
B18708,INTA Balcarce,Linea,CBS,2010,CS,NO,SI,2*,6+8/7+8,5+10,w,s,s,s,-
B19408,INTA Balcarce,Linea,CBS,2010,CNN,NO,SI,2*,7+9,5+10,w,s,s,s,-
B28808,INTA Balcarce,Linea,CBS,2010,CS,NO,SI,nulo,7oe+8,5+10,s*,s,w,i,
MILLENIUM,,Variedad,CBS,2010,,NO,NO,2*,7+9,5+10/2+12,w,w,w,i,-
