Linea,Criadero,Status,Origen,Año,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-B1,Ppd-D1,Lr34
ACA 307,ACA,Variedad,CBS,2014,nulo,7+8,5+10,w,,w,s,i,-
ACA 356,ACA,Variedad,CBS,2014,2*,7+8,5+10,s,s,w,s,s,+
ACA 360,ACA,Variedad,CBS,2014,2*,7+8,5+10,s,s,w,s,s,
ACA 602,ACA,Variedad,CBS,2014,nulo,7+8,5+10,w,s,w,s,i,+
ACA 908,ACA,Variedad,CBS,2014,nulo,7oe+8,5+10,s*,s,s,s,i,-
CIPRES,ACA,Variedad,CBS,2014,1,7+8,5+10,w,w,w,s,i,-
SY 015,SYNGENTA,Variedad,CBS,2014,nulo,13+16,5+10,w,w,w,s,i,-
SY 041,SYNGENTA,Variedad,CBS,2014,nulo,13+16,5+10,w,w,w,s,i,-
SY 100,SYNGENTA,Variedad,CBS,2014,nulo,6+8,5+10,s*,,w,s,i,-
SY 300,SYNGENTA,Variedad,CBS,2014,nuo,6+8,5+10,s*,,w,s,i,-
BELLACO,BUCK,Variedad,CBS,2014,1,7oe+8,5+10,s,w,w,s,i,-
METEORO,BUCK,Variedad,CBS,2014,1,7oe+8,5+10,s,,w,s,s,-
PLENO,BUCK,Variedad,CBS,2014,nulo,7+8,5+10,w,s,w,s,i,-
TILCARA,BUCK,Variedad,CBS,2014,1,6+8,5+10,s,w,w,s,i,-
BAGUETTE 601,NIDERA,Variedad,CBS,2014,1,7+8,5+10,w,s,w,s,i,
BAGUETTE 801,NIDERA,Variedad,CBS,2014,1,7oe+8,5+10,w,s,s,s,s,-
BAGUETTE 802,NIDERA,Variedad,CBS,2014,nulo,7+8,5+10,s,s,w,s,i,-
LYON,DON MARIO,Variedad,CBS,2014,nulo,7+8,5+10,w,,w,s,i,-
LIEBRE,KLEIN,Variedad,CBS,2014,nulo,7+9,5+10,w,,s,s,s,-
RAYO,KLEIN,Variedad,CBS,2014,nulo,7oe+8,5+10,w,s,w,s,i,-
SERPIENTE,KLEIN,Variedad,CBS,2014,1,7oe+8,5+10,w,s,s,s,s,-
NOGAL,SURSEM,Variedad,CBS,2014,nulo,7+8,5+10,w,w,w,s,i,-
LENGA,DON MARIO,Variedad,CBS,2014,nulo,7+8,2+12,w,w,w,s,i,-
TIMBO,BIOCERES,Variedad,CBS,2014,nulo,6+8,5+10,w,w,w,s,i,-
AVISO,GENVCE,Variedad,CBS,2014,1,7+8,5+10,w,w,w,s,i,-
ALHAMBRA,LIMAGRAIN,Variedad,CBS,2014,nulo,7+9,5+10,w,s,w,s,i,-
GARDELL,ACA,Variedad,CBS,2014,nulo,7+8,5+10,w,,w,s,i,-
AVELLINO,GENVCE,Variedad,CBS,2014,nulo,7+8,2+12,w,w,w,s,i,-
CAMBIUM,DON MARIO,Variedad,CBS,2014,nulo,7oe+8,5+10,s*,s,s,s,s,-
FUSTE,DON MARIO,Variedad,CBS,2014,1,7+9,5+10,w,,s,i,s,-
LE 2330,RELMO,Variedad,CBS,2014,1,7+8,5+10,s,,s,s,s,+
W10017,INTA Barrow,Linea,CBS,2014,1,7+8,5+10,w,,w,s,s,+
W10024,INTA Barrow,Linea,CBS,2014,nulo,7+9,2+12,s,,s,s,s,+
W10043,INTA Barrow,Linea,CBS,2014,1,13+16,5+10,s,,w,i,s,+
W11008,INTA Barrow,Linea,CBS,2014,1,13+16,5+10,s,,w,i,i,+
W11022,INTA Barrow,Linea,CBS,2014,1,13+16,5+10,w,,s,s,i,-
W11029,INTA Barrow,Linea,CBS,2014,1,7,5+10,w,,s,s,i,-
W11036,INTA Barrow,Linea,CBS,2014,2*,13+16,2+12,w,,w,s,i,-
W11072,INTA Barrow,Linea,CBS,2014,nulo,7+8,5+10,w,,w,s,s,
W12088,INTA Barrow,Linea,CBS,2014,1,7+9,2+12,w,,w,i,s,+
W12242,INTA Barrow,Linea,CBS,2014,2*,7+8,5+10,s,,s,s,i,-
W12244,INTA Barrow,Linea,CBS,2014,nulo,6+8,5+10,w,,w,i,i,-
W12248,INTA Barrow,Linea,CBS,2014,nulo,7+8,5+10,w,,w,s,s,-
W12252,INTA Barrow,Linea,CBS,2014,nulo,7+9,5+10,w,,w,s,i,+
PANDORA,,Variedad,CBS,2014,nulo,7+9,2+12,s,,w,s,i,-
GALERA,,Variedad,CBS,2014,,7oe+8,,s,,s,s,i,-
