Lineas,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
B11001,INTA Balcarce,Linea,Regional I,2006,CS,NO,SI,2*,7+9,5+10
B12702,INTA Balcarce,Linea,Regional I,2006,CS,NO,SI,2*,17+18,5+10
B08102,INTA Balcarce,Linea,Regional I,2006,CNN,NO,SI,2*,7+9,5+10
B07302,INTA Balcarce,Linea,Regional II,2006,CS,NO,NO,2*,7+8,5+10
B13502,INTA Balcarce,Linea,Regional II,2006,CS,NO,NO,1,17+18,5+10
B08402,INTA Balcarce,Linea,Regional III,2006,CS,NO,SI,1,7+9,5+10
B13002,INTA Balcarce,Linea,Regional III,2006,CS,NO,SI,2*,7+9,5+10
B08302,INTA Balcarce,Linea,Regional III,2006,CS,NO,SI,1,7+9,5+10
W99020,INTA Barrow,Linea,Regional I,2006,CS,NO,NO,2*,7+8,5+10
W03003,INTA Barrow,Linea,Regional I,2006,CS,NO,NO,1,7+8,5+10
W03020,INTA Barrow,Linea,Regional I,2006,CS,NO,NO,2*,7+9,5+10
R04001,INTA Marcos Juarez,Linea,Regional II,2006,CS,SI,NO,2*,7+8,5+10
R04002,INTA Marcos Juarez,Linea,Regional II,2006,CS,SI,NO,2*,7+8,5+10
R04008,INTA Marcos Juarez,Linea,Regional II,2006,CS,SI,NO,2*,7+8,5+10
R04010,INTA Marcos Juarez,Linea,Regional II,2006,CS,SI,NO,2*,7+8,5+10
J05001,INTA Marcos Juarez,Linea,Regional I,2006,CS,NO,NO,2*,7+8,5+10
J05002,INTA Marcos Juarez,Linea,Regional I,2006,CS,NO,NO,2*,7+8,5+12?
J05003,INTA Marcos Juarez,Linea,Regional I,2006,CS,NO,NO,2*/nulo,7+9,2+12
J05011,INTA Marcos Juarez,Linea,Regional II,2006,CS,NO,NO,nulo,17+18,2+12
J04010,INTA Marcos Juarez,Linea,Regional III,2006,CS,NO,NO,1,7+9,5+10
J05018,INTA Marcos Juarez,Linea,Regional III,2006,CS,NO,NO,1,7+9,5+10
J05019,INTA Marcos Juarez,Linea,Regional III,2006,CS,NO,SI,2*,7+9,5+10
T00114,INTA Parana,Linea,Regional III,2006,CS,NO,NO,1,7+8,5+10
P04695,INTA Pergamino,Linea,Regional I,2006,CS,NO,NO,1,7+8,5+10
P04544,INTA Pergamino,Linea,Regional I,2006,CS,NO,SI,1,7+9,5+10
P04854,INTA Pergamino,Linea,Regional I,2006,CS,NO,SI,1,7+9,5+10
P04859,INTA Pergamino,Linea,Regional I,2006,CS,NO,SI,2*,7+9,5+10
P04880,INTA Pergamino,Linea,Regional I,2006,CS,NO,NO,1/2*,17+18,5+10
P04430,INTA Pergamino,Linea,Regional II,2006,CS,NO,SI,2*,7+9,5+10
P04736,INTA Pergamino,Linea,Regional II,2006,CS,NO,SI?,2*/nulo,7+8,2+12
P04805,INTA Pergamino,Linea,Regional II,2006,CS,NO,NO,2*,7+8,5+10
P04862,INTA Pergamino,Linea,Regional II,2006,CS,NO,SI?,2*,7+8/9,5+10
P04877,INTA Pergamino,Linea,Regional II,2006,CS,NO,SI,2*,7+8,5+10
P04883,INTA Pergamino,Linea,Regional II,2006,CS,NO,NO,2*,7+8,5+10
P04788,INTA Pergamino,Linea,Regional III,2006,CS,NO,NO,1,7+9,5+10
P04836,INTA Pergamino,Linea,Regional III,2006,CS,NO,NO,1,17+18/7+9,5+10
P04727,INTA Pergamino,Linea,Regional III,2006,CS,NO,NO,1,7+8,5+10
P04849,INTA Pergamino,Linea,Regional III,2006,CS,NO,NO,nulo,7+9,5+10
JN05004,INTA Saenz Peña,Linea,Regional I,2006,CS,NO,SI,1,7+9,5+10
JN05006,INTA Saenz Peña,Linea,Regional I,2006,CS,NO,NO,1,7+9,2+12
JN05007,INTA Saenz Peña,Linea,Regional I,2006,CS,NO,NO,2*/nulo,7+8,2+12
JN05016,INTA Saenz Peña,Linea,Regional II,2006,CS,NO,SI,2*/nulo,7+9,2+12
JN03016,INTA Saenz Peña,Linea,Regional III,2006,CS,NO,NO,2*,7+9,5+10
JN04014,INTA Saenz Peña,Linea,Regional III,2006,CS,NO,NO,2*,7+9,5+10
JN04016,INTA Saenz Peña,Linea,Regional III,2006,CS,NO,NO,1,17+18,5+10
JN05020,INTA Saenz Peña,Linea,Regional III,2006,CNN,NO,NO,2*,7+9,5+10
GUAPO,BUCK,Variedad,Regional I,2006,CS,NO,SI,1,7+8,5+10
ESCORPION,KLEIN,Variedad,Regional I,2006,CS,NO,NO,1,7+9,5+10
BIOINTA 3000,INTA,Variedad,Regional I,2006,CS,NO,NO,1,7+8,5+10
ACA 303,ACA,Variedad,Regional I,2006,CNN,NO,NO,2*,7+8,5+10
BAGUETTE 10,NIDERA,Variedad,Regional II,2006,CS,NO,NO,nulo,6+8,5+10
BIOINTA B. 2001,INTA,Variedad,Regional II,2006,CS,NO,NO,2*,7+8,5+10
BAGUETTE 11,NIDERA,Variedad,Regional II,2006,CS,NO,NO,2*,7+8,5+10
CHAJA,KLEIN,Variedad,Regional III,2006,CS,NO,NO,2*,17+18,5+10
BIOINTA 1000,INTA,Variedad,Regional III,2006,CNN,NO,NO,1,7+8,5+10
BIOINTA 1001,INTA,Variedad,Regional III,2006,CS,NO,SI,1,7+9,5+10
BAGUETTE 13,NIDERA,Variedad,Regional III,2006,CS,NO,NO,2*,14+15?,5+10
CRONOX,DON MARIO,Variedad,Regional III,2006,CS,NO,NO,2*,7+9,5+10
ONIX,DON MARIO,Variedad,Regional III,2006,CS,NO,NO,2*,7+9,5+10
