Linea,Criadero,Status,Origen,Año,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-D1,Lr34
B11806,INTA Balcarce,Linea,Regional I,2009,NO,NO,2*,7+9,5+10,s/w,s,s/w,s,+
B13206,INTA Balcarce,Linea,Regional I,2009,NO,NO,1,7+9,5+10/2+12,s,w,w,s,+
B16406,INTA Balcarce,Linea,Regional I,2009,NO,NO,,,,s,s,s,s,-
B20907,INTA Balcarce,Linea,Regional I,2009,NO,SI,1,7+9,5+10,w,w,s,s,-
B21007,INTA Balcarce,Linea,Regional I,2009,NO,SI,1,7+9,5+10,w,w,s,s,-
J07003,INTA Marcos Juarez,Linea,Regional I,2009,NO,NO,2*,7+8,5+10,s,s,w,s,+
J07004,INTA Marcos Juarez,Linea,Regional I,2009,NO,NO,2*,7+8,5+10,w,s,w,s,-
J08001,INTA Marcos Juarez,Linea,Regional I,2009,NO,NO,1,7+8,5+10,w,s,s/w,s,-
J08002,INTA Marcos Juarez,Linea,Regional I,2009,SI,NO,1,7+8,2+12,s,w,w,s,-
J08003,INTA Marcos Juarez,Linea,Regional I,2009,NO,SI,2*,7+9,5+10,w,w,w,i,-
J08007,INTA Marcos Juarez,Linea,Regional I,2009,NO,SI,1,7+9,5+10,w,s,s,s,+
J08008,INTA Marcos Juarez,Linea,Regional I,2009,NO,SI,1,7+8,2+12,w,s,s,s,-
JN06003,INTA Saenz Peña,Linea,Regional I,2009,NO,SI,1,7oe+8?,5+10,s,s,s/w,s,-
JN08004,INTA Saenz Peña,Linea,Regional I,2009,NO,NO,1,17+18,5+10,w,s,w,s,+
JN08005,INTA Saenz Peña,Linea,Regional I,2009,NO,NO,1,7+8,5+10,s,s,w,i,-
JN08006,INTA Saenz Peña,Linea,Regional I,2009,NO,NO,2*,17+18,5+10,s,w,w,i,-
P05142,INTA Pergamino,Linea,Regional I,2009,NO,SI,2*,7+8,5+10,w,w,s/w,i,H
P05153,INTA Pergamino,Linea,Regional I,2009,NO,NO,2*,7+8,5+10,w,s,w,s,-
P05156,INTA Pergamino,Linea,Regional I,2009,NO,NO,2*,7+8,5+10,w,s,w,s,-
P05279,INTA Pergamino,Linea,Regional I,2009,NO,NO,2*,7+9,5+10,s*,w,w,i,-
P05284,INTA Pergamino,Linea,Regional I,2009,NO,NO,nulo,7+9,5+10,,,,,
T00185,INTA Parana,Linea,Regional I,2009,NO,NO,1,7+8,5+10,s*,w,w,s,-
T00186,INTA Parana,Linea,Regional I,2009,NO,NO,1,6+8,5+10,s,s,w,s,-
T00187,INTA Parana,Linea,Regional I,2009,NO,NO,1,7+8,5+10,w,s,w,s,-
T00202,INTA Parana,Linea,Regional I,2009,NO,NO,1,7+8,5+10,w,s,w,s,-
T00203,INTA Parana,Linea,Regional I,2009,NO,NO,1,7+8,5+10,s*,w,w,s,-
T00204,INTA Parana,Linea,Regional I,2009,NO,SI,1,7+8,5+10,s*?,s,w,s,-
V00907,INTA Bordenave,Linea,Regional I,2009,NO,SI,1,7+8,5+10,s,s/w,w,s,-
V00914,INTA Bordenave,Linea,Regional I,2009,NO,SI,2*,7+8,5+10,s,w,w,s,
V00920,INTA Bordenave,Linea,Regional I,2009,NO,NO,1,7oe+8?,2+12,s,w,w,s,-
V00924,INTA Bordenave,Linea,Regional I,2009,NO,NO,1,17+18,5+10,w,s,s,s,-
V00928,INTA Bordenave,Linea,Regional I,2009,NO,NO,2*,7+8,2+12,s,s,s,s,-
W05009,INTA Barrow,Linea,Regional I,2009,NO,NO,2*,7+8,5+10,w,s,s,s,-
W06005,INTA Barrow,Linea,Regional I,2009,NO,NO,2*,7+9,2+12,w,s,s,s,-
W06007,INTA Barrow,Linea,Regional I,2009,NO,NO,1,7+8,5+10,w,w,s,s,-
W06018,INTA Barrow,Linea,Regional I,2009,NO,NO,nulo,13+16,5+10,w,s,w,s,+
W07002,INTA Barrow,Linea,Regional I,2009,NO,NO,2*,17+18,5+10,s,s,w,s,-
W07016,INTA Barrow,Linea,Regional I,2009,NO,NO,2*,7+8,5+10,s,w,w,s,-
ACA303,ACA,Variedad,Regional I,2009,NO,NO,2*,7+8,5+10,w,s,s,s,-
BAGUETTE 11,NIDERA,Variedad,Regional I,2009,NO,NO,2*,7+8,5+10,s*,w,w,i,-
BAGUETTE 18,NIDERA,Variedad,Regional I,2009,NO,NO,nulo,13+16?,5+10,w,w,w,i,-
BAGUETTE 19,NIDERA,Variedad,Regional I,2009,NO,NO,nulo,14+15,5+10,s*,w,w,i,-
BIOINTA 3000,INTA,Variedad,Regional I,2009,NO,NO,1,7oe+8,5+10,s,s,s,s,H
BIOINTA 3004,INTA,Variedad,Regional I,2009,NO,SI,2*,7+9,5+10,w,s,s,s,-
BIOINTA 3005,INTA,Variedad,Regional I,2009,NO,NO,nulo,7+8,4+12?,w,w,w,i,-
NOGAL,SURSEM,Variedad,Regional I,2009,NO,NO,2*,7+8,5+10,w,w,w,i,-
B11106,INTA Balcarce,Linea,Regional II,2009,NO,NO,2*/nulo,7+8,5+10,s*,s,,s,-
B15206,INTA Balcarce,Linea,Regional II,2009,NO,NO,2*,7+9,2+12,s,s,w,s,+
B15706,INTA Balcarce,Linea,Regional II,2009,NO,NO,2*,17+18,5+10,w,s/w,w,s,-
B18306,INTA Balcarce,Linea,Regional II,2009,NO,,,,,s,s,s,s,-
B18606,INTA Balcarce,Linea,Regional II,2009,NO,NO,2*,7+8,5+10,w,s,s,s,-
J08009,INTA Marcos Juarez,Linea,Regional II,2009,NO,NO,2*,17+18,5+10,w,w,w,i,-
J08010,INTA Marcos Juarez,Linea,Regional II,2009,NO,SI,2*,7+9,5+10,s,w,w,i,+
J08013,INTA Marcos Juarez,Linea,Regional II,2009,NO,NO,2*,17+18,5+10,w,w,w,s,+
J08014,INTA Marcos Juarez,Linea,Regional II,2009,NO,SI,2*/nulo,6+8,5+10,w,w,s,i,-
J08015,INTA Marcos Juarez,Linea,Regional II,2009,NO,SI,1,7+9,5+10,w,s/w,w,i,-
J08018,INTA Marcos Juarez,Linea,Regional II,2009,NO,NO,1,7+8,5+10,s*,s/w,w/s,i,H
JN06011,INTA Saenz Peña,Linea,Regional II,2009,NO,NO,2*,7+8,5+10,w,s,s,s,-
JN08011,INTA Saenz Peña,Linea,Regional II,2009,NO,SI,2*,7+9,5+10,w,s,w,i,-
JN08012,INTA Saenz Peña,Linea,Regional II,2009,NO,NO,1,7+8,2+12,s,s,w,s,-
JN08016,INTA Saenz Peña,Linea,Regional II,2009,NO,SI,1,7+9,5+10,s,s,s,i,+
JN08017,INTA Saenz Peña,Linea,Regional II,2009,NO,NO,1,17+18,5+10,w,w,s,i,-
P04805,INTA Pergamino,Linea,Regional II,2009,NO,NO,2*,7+8,5+10,w,w,s,s,-
P04999,INTA Pergamino,Linea,Regional II,2009,NO,SI,2*,7+8/7+9,5+10,s,w,w,i,-
P05106,INTA Pergamino,Linea,Regional II,2009,NO,NO,2*,17+18,5+10,w,s,,i,-
P05135,INTA Pergamino,Linea,Regional II,2009,NO,NO,,,,w,w,w,i,-
P05141,INTA Pergamino,Linea,Regional II,2009,NO,SI,2*,7+8,5+10,w,w,w,i,+
P05258,INTA Pergamino,Linea,Regional II,2009,NO,NO,1/2*,7+8,2+12,s,s/w,s,s,-
T00191,INTA Parana,Linea,Regional II,2009,NO,NO,2*,7+8,2+12,s,s/w,w,i,-
T00192,INTA Parana,Linea,Regional II,2009,NO,NO,2*,7+8,2+12,s*,w,w,i,+
T00193,INTA Parana,Linea,Regional II,2009,NO,NO,1,7+8,2+12,w,s,s,s,-
T00194,INTA Parana,Linea,Regional II,2009,NO,NO,1,6+8,5+10,s*,w,w,i,-
T00205,INTA Parana,Linea,Regional II,2009,NO,NO,1,13+16,5+10,w,s,w,s,+
T00206,INTA Parana,Linea,Regional II,2009,NO,NO,1,7+8,?+12,w,s,w,s,-
T00207,INTA Parana,Linea,Regional II,2009,NO,NO,1,7+8,5+10,s*,s,w,s,-
V00925,INTA Bordenave,Linea,Regional II,2009,NO,NO,nulo,17+18,2+12,w,w,w,i,+
V00927,INTA Bordenave,Linea,Regional II,2009,NO,,2*,7+9,5+10,w,s/w,w,i,-
V00929,INTA Bordenave,Linea,Regional II,2009,NO,NO,1,13+16,2+12,w,w,w,i,+
W06011,INTA Barrow,Linea,Regional II,2009,NO,NO,2*,7+8,2+12,s,s,s,s,-
W07004,INTA Barrow,Linea,Regional II,2009,NO,NO,1,17+18,5+10,w,w,w,s,-
W07007,INTA Barrow,Linea,Regional II,2009,NO,NO,2*,17+18,5+10,w,s,w,s,-
W07009,INTA Barrow,Linea,Regional II,2009,NO,NO,2*,17+18,5+10,s,s,w,s,-
W07013,INTA Barrow,Linea,Regional II,2009,NO,NO,2*,17+18,5+10,w,s,w,s,-
METEORO,BUCK,Variedad,Regional II,2009,NO,NO,1,17+18,5+10,s,s,s,i,-
BAGUETTE 10,NIDERA,Variedad,Regional II,2009,NO,NO,nulo,6+8,5+10,s*,w,w,i,-
BAGUETTE 11,NIDERA,Variedad,Regional II,2009,NO,NO,2*,7+8,5+10,s*,w,w,i,-
BAGUETTE 17,NIDERA,Variedad,Regional II,2009,NO,NO,nulo,6+8/7+8,5+10,s,w,w,i,-
BIOINTA 2004,INTA,Variedad,Regional II,2009,SI,NO,2*,7+8,5+10,w,w,w,s,+
GAVILAN,KLEIN,Variedad,Regional II,2009,NO,SI,2*,7+9,5+10,s,w,s,s,-
NOGAL,SURSEM,Variedad,Regional II,2009,NO,NO,2*,7+8,5+10,w,w,w,i,-
P04862,INTA Pergamino,Linea,Regional II,2009,NO,SI,2*,7+9,5+10,w,s,w,i,-
B11805,INTA Balcarce,Linea,Regional III,2009,NO,SI,,,,w,s/w,s,i,-
B17205,INTA Balcarce,Linea,Regional III,2009,NO,SI,,,,w,w,s,i,+
B19706,INTA Balcarce,Linea,Regional III,2009,NO,NO,,,,s*,s,w,s,-
B20006,INTA Balcarce,Linea,Regional III,2009,NO,SI,,,,w,w,s,s,-
