Linea,Criadero,Status,Origen,Año,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-B1,Ppd-D1,Lr 34
B15308,INTA Balcarce,Linea,Regional I,2012,NO,SI,2*, 7oe+8, 5+10,w,s,s,s,s,-
B16208,INTA Balcarce,Linea,Regional I,2012,NO,NO,2*/nulo, 6+8, 2+12,w,s,s,s,H,-
B18407,INTA Balcarce,Linea,Regional I,2012,NO,NO,1, 7oe+8, 5+10/2+12,s/s*,w,s,s,H,-
B18708,INTA Balcarce,Linea,Regional I,2012,NO,NO,1, 7oe+8, 5+10,s*,w,s,s,s,-
B22207,INTA Balcarce,Linea,Regional I,2012,NO,NO,2*, 13+16, 5+10,w,s,s,s,s,-
J11001,INTA Marcos Juarez,Linea,Regional I,2012,NO,SI,1/2*, 7+9/17+18, 5+10,w,s,w,s,i,-
J11003,INTA Marcos Juarez,Linea,Regional I,2012,NO,NO,2*, 7+9, 5+10,w,s,w,s,s,+
J12001,INTA Marcos Juarez,Linea,Regional I,2012,NO,SI,2*, 13+16, 5+10,w,s,w,i,s,-
J12002,INTA Marcos Juarez,Linea,Regional I,2012,NO,NO,2*, 7+9, 5+10,w,w,s,i,s,-
J12003,INTA Marcos Juarez,Linea,Regional I,2012,NO,NO,1, 7oe+8, 5+10,s,s,s,s,s,+
JN11005,INTA Saenz Peña,Linea,Regional I,2012,NO,NO,1, 7oe+8, 5+10,w,s,s,s,s,-
JN11006,INTA Saenz Peña,Linea,Regional I,2012,NO,SI,1, 7oe+8, 5+10,w,s,w,s,s,+
JN11009,INTA Saenz Peña,Linea,Regional I,2012,NO,NO,1, 7oe+8, 5+10,s,w,s,s,s,-
JN12004,INTA Saenz Peña,Linea,Regional I,2012,SI?,NO,2*, 7oe+8, 5+10,w,w,w,i,H,+
JN12005,INTA Saenz Peña,Linea,Regional I,2012,NO,NO,2*, 7+9, 5+10,s*,s,s,s,i,-
JN12006,INTA Saenz Peña,Linea,Regional I,2012,NO,NO,2*/nulo, 17+18, 2+12,s,w,w,s,s,+
P05140,INTA Pergamino,Linea,Regional I,2012,NO,NO,1/2*, 7+8, 5+10,s/w,w,w,s,i,+
P05376,INTA Pergamino,Linea,Regional I,2012,NO,NO,1, 7oe+8/7+9, 5+10,s,s,s,s,s,+
P05379,INTA Pergamino,Linea,Regional I,2012,NO,NO,1, 7oe+8, 5+10,w,s,s,s,s,+
P05598,INTA Pergamino,Linea,Regional I,2012,NO,NO,2*, 7+8, 5+10,s/w,s,w,i,s,-
P05644,INTA Pergamino,Linea,Regional I,2012,NO,NO,2*, 7+8, 5+10,w,s,s,s,s,+
T00237,INTA Parana,Linea,Regional I,2012,NO,NO,nulo, 7oe+8, 5+10,s,s,w,s,s,-
T00238,INTA Parana,Linea,Regional I,2012,NO,NO,1, 7oe+8, 5+10,s,s,s,s,s,+
T00239,INTA Parana,Linea,Regional I,2012,NO,NO,2*, 7+8, 5+10,s,w,s,s,s,-
