Linea,Criadero,Status,Origen,Año,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-B1,Ppd-D1,Lr34
B02031,INTA Balcarce,Linea,REGIONAL I,2015,NO,2*,7+8,5+10,w,w,s,s,i,-
B02045,INTA Balcarce,Linea,REGIONAL I,2015,SI,1,7+8,5+10,s,w,w,s,s,-
B02050,INTA Balcarce,Linea,REGIONAL II,2015,NO,2*,7+9,5+10,w,w,s,s,i,-
B02053,INTA Balcarce,Linea,REGIONAL III,2015,SI?,2*,7+9,5+10,w,s,s,s,i,-
B03001,INTA Balcarce,Linea,REGIONAL III,2015,SI,2*,7+9,5+10,w,s,s,s,i,-
B03002,INTA Balcarce,Linea,REGIONAL III,2015,SI,2*,7+9,5+10,w,s,s,s,i,-
B03004,INTA Balcarce,Linea,REGIONAL III,2015,NO,2*,17+18,5+10,w,s,s,s,i,-
B03005,INTA Balcarce,Linea,REGIONAL I,2015,NO,2*,7+8,5+10,w,s,s,s,i,+
B03019,INTA Balcarce,Linea,REGIONAL II,2015,NO,nulo,7+8/7+9,5+10,s,w,w,s,i,-
B03020,INTA Balcarce,Linea,REGIONAL II,2015,NO,2*,17+18,5+10,w,H,w,s,i,-
B03028,INTA Balcarce,Linea,REGIONAL II,2015,NO,nulo,6+8/17+18,5+10,w,H,s,s,i,-
B03045,INTA Balcarce,Linea,REGIONAL I,2015,NO,nulo,H,5+10,w,w,w,s,s,-
B03046,INTA Balcarce,Linea,REGIONAL II,2015,NO,1,7/7+9,5+10,H,s,w,i,i,-
B03047,INTA Balcarce,Linea,REGIONAL I,2015,NO,2*,7oe+8,5+10,s,s,w,s,s,-
B04001,INTA Balcarce,Linea,REGIONAL III,2015,SI,1,7,5+10,w,w,s,i,i,-
B04013,INTA Balcarce,Linea,REGIONAL III,2015,NO,2*,7+9,5+10,w,s,s,i,s,-
B16208,INTA Balcarce,Linea,REGIONAL I,2015,NO,nulo,6+8/7+9,2+12,w,w,s,s,s,-
J12001,INTA Marcos Juarez,Linea,REGIONAL I,2015,NO,2*,7+8/13+16,5+10,w,s,w,i,s,-
J12012,INTA Marcos Juarez,Linea,REGIONAL III,2015,SI?,nulo,13+16,5+10,w?,w,w,s,i,-
J13001,INTA Marcos Juarez,Linea,REGIONAL I,2015,NO,2*,7+8,5+10,w,s,s,i,s,-
J13003,INTA Marcos Juarez,Linea,REGIONAL I,2015,NO,2*,13+16,5+10,s*,w,w,s,i,-
J13009,INTA Marcos Juarez,Linea,REGIONAL II,2015,NO,2*,13+16,5+10,w,w,w,s,i,-
J13011,INTA Marcos Juarez,Linea,REGIONAL II,2015,NO,2*,13+16,5+10,s*,w,w,s,i,-
J13013,INTA Marcos Juarez,Linea,REGIONAL III,2015,NO,2*,7oe+8,5+10,w,w,w,s,i,-
J13014,INTA Marcos Juarez,Linea,REGIONAL III,2015,NO,2*,13+16,5+10,w,s,w,s,i,+
J14007,INTA Marcos Juarez,Linea,REGIONAL II,2015,NO,2*,7+8,5+10,w,s,w,s,i,-
J15001,INTA Marcos Juarez,Linea,REGIONAL I,2015,SI,1,7+9,5+10,w,s,s,s,H,-
J15002,INTA Marcos Juarez,Linea,REGIONAL I,2015,NO,2*,7+8/7+9,5+10,s*,s,w,s,i,-
J15003,INTA Marcos Juarez,Linea,REGIONAL I,2015,NO,1,7+8,5+10,w,w,w,s,i,+
J15004,INTA Marcos Juarez,Linea,REGIONAL I,2015,NO,2*,6+8,5+10,w,w,w,i,s,+
J15009,INTA Marcos Juarez,Linea,REGIONAL II,2015,NO,2*,6+8,5+10,w,s,w,s,i,-
J15010,INTA Marcos Juarez,Linea,REGIONAL II,2015,NO,2*,7+9,5+10,w,s,s,i,H,-
J15011,INTA Marcos Juarez,Linea,REGIONAL II,2015,NO,2*,7+8,5+10,s*,s,w,s,i,-
J15017,INTA Marcos Juarez,Linea,REGIONAL III,2015,NO,2*,7+8,5+10,s*,w,s,s,i,-
J15018,INTA Marcos Juarez,Linea,REGIONAL III,2015,NO,1/2*,7+8,5+10,w,w,s,s,i,-
J15019,INTA Marcos Juarez,Linea,REGIONAL III,2015,NO,2*,7+8,5+10,s*,w,s,s,i,-
J15020,INTA Marcos Juarez,Linea,REGIONAL III,2015,NO,2*,7+8/7oe+8,5+10,s,w,w,i,s,+
JN12015,INTA Saenz Peña,Linea,REGIONAL III,2015,NO,nulo,7+8/13+16,5+10,s*,w,w,s,i,-
JN13004,INTA Saenz Peña,Linea,REGIONAL I,2015,NO,2*,17+18,5+10,s,w,w,s,i,+
JN13012,INTA Saenz Peña,Linea,REGIONAL II,2015,NO,1,7oe+8,5+10,w,w,w,s,i,H
JN14004,INTA Saenz Peña,Linea,REGIONAL I,2015,NO,1,7+9,5+10,w,s,s,s,s,-
JN14016,INTA Saenz Peña,Linea,REGIONAL III,2015,NO,nulo,13+16,5+10,s*,w,s,s,i,+
JN15005,INTA Saenz Peña,Linea,REGIONAL I,2015,NO,nulo,7+8,5+10,w,H,w,i,s,H
JN15006,INTA Saenz Peña,Linea,REGIONAL I,2015,NO,2*,6+8,5+10,w,w,w,i,s,+
JN15007,INTA Saenz Peña,Linea,REGIONAL I,2015,SI?,2*,7+9,5+10,w,w,w,s,s,+
JN15008,INTA Saenz Peña,Linea,REGIONAL I,2015,NO,2*,7+8,5+10,w,w,w,s,s,+
JN15012,INTA Saenz Peña,Linea,REGIONAL II,2015,NO,2*,17+18,5+10,w,s,s,s,i,-
JN15013,INTA Saenz Peña,Linea,REGIONAL II,2015,NO,2*,7+8,5+10,w,w,s,i,H,+
JN15014,INTA Saenz Peña,Linea,REGIONAL II,2015,NO,2*,7+8,5+10,s*,w,w,s,i,-
JN15015,INTA Saenz Peña,Linea,REGIONAL II,2015,SI?,1,7+9,5+10,w,s,w,s,i,-
JN15016,INTA Saenz Peña,Linea,REGIONAL II,2015,NO,2*,7+8,5+10,s*,w,w,s,i,-
JN15021,INTA Saenz Peña,Linea,REGIONAL III,2015,NO,1,7,5+10,w,s,w,i,i,H
JN15022,INTA Saenz Peña,Linea,REGIONAL III,2015,NO,1,7/7+9,5+10,w,H,H,s,i,-
JN15023,INTA Saenz Peña,Linea,REGIONAL III,2015,NO,2*,7,5+10,w,s,s,s,i,-
JN15024,INTA Saenz Peña,Linea,REGIONAL III,2015,NO,2*,7,5+10,w,s,s,s,i,-
JN15025,INTA Saenz Peña,Linea,REGIONAL III,2015,NO,1,13+16,2+12,w,s,s,s,s,-
P05900,INTA Pergamino,Linea,REGIONAL III,2015,NO,2*,7+9,5+10,w,s,s,i,i,-
P06000,INTA Pergamino,Linea,REGIONAL II,2015,NO,2*,7+9,5+10,s*,w,s,i,s,-
P06001,INTA Pergamino,Linea,REGIONAL I,2015,NO,2*,7+9,5+10,w,H,s,s,s,+
P06002,INTA Pergamino,Linea,REGIONAL II,2015,NO,2*,7+9,5+10,w,s,s,s,s,+
P06004,INTA Pergamino,Linea,REGIONAL I,2015,SI,1,7+9,5+10,w,s,s,s,s,+
P06008,INTA Pergamino,Linea,REGIONAL II,2015,SI,2*,7+9,5+10,s,s,w,s,s,-
P06009,INTA Pergamino,Linea,REGIONAL I,2015,SI,2*,7+9,5+10,s,w,w,s,s,-
