Linea,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
ACA 303,CBN,2004,CNN,NO,NO,2*,7+8,5+10
ACA 304,CBN,2004,CNN,NO,NO,2*,7+8,5+10
ACA 601,CBN,2004,CNN,NO,NO,2*,7+8,5+10
ACA 801,CBN,2004,CS,NO,NO,2*,7+9,5+10
B AGUARA,CBN,2004,CNN,NO,NO,2*,17+18,5+10
B GUATIMOZIN,CBN,2004,CNN,NO,NO,2*,7+8,5+10
B MEJOR PAN,CBN,2004,CNN,NO,NO,2*,7+8,5+10
BAGUETTE 11,CBN,2004,CS,NO,NO,2*,7+8,5+10
BAGUETTE 13,CBN,2004,CS,NO,NO,2*,7+9,5+10
BIOINTA 1000,CBN,2004,CNN,NO,NO,1,7+8,5+10
BIOINTA 1001,CBN,2004,CS,NO,SI,1,7+9,5+10
BIOINTA 3000,CBN,2004,CS,NO,NO,1,7+8,5+10
BIOINTA 3002,CBN,2004,CS,NO,NO,1,7+8,5+10
BIOINTA 3003,CBN,2004,CS,SI,NO,2*,7+9,5+10
INIA CHURRINCHE,CBN,2004,CS,NO,NO,2*,7+8,5+10
INIA TIJERETA,CBN,2004,CS,NO,NO,2*,17+18,5+10
K CAPRICORNIO,CBN,2004,CS,NO,NO,2*,7+8,5+10
K ESCORPION,CBN,2004,CS,NO,H,1,7+9,5+10
K GAVILAN,CBN,2004,CS,NO,SI,2*,7+9,5+10
K PROTEO,CBN,2004,CS,NO,NO,1,7+9,5+10
ONIX,CBN,2004,CS,NO,NO,2*,7+9,5+10
P GAUCHO,CBN,2004,CS,NO,SI,1,7+9,5+10
P GRANAR,CBN,2004,CS,NO,SI,2*,13+16,5+10
J 01006,CBN,2004,CS,NO,NO,2*,7+9,5+10
JN 01005,CBN,2004,CS,NO,NO,1,7+9,5+10
V 00817,CBN,2004,CNN,NO,NO,2*,17+18,5+10
J 02001,CBN,2004,CS,NO,NO,2*,7+9,2+12
J 02006,CBN,2004,CS,NO,NO,1,7+9/17+18 ,2+12
J 02011,CBN,2004,CNN,NO,NO,2*,7+8,5+10
J 03001,CBN,2004,CS,SI,NO,2*,7+9,5+10
