Linea,Criadero,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
Aca601,ACA,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
Aca801,ACA,CBN,2005,CS,NO,NO,2*,7+ 9,5+10
Aca303,ACA,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
Aca304,ACA,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
Baguette10,NIDERA,CBN,2005,CS,NO,NO,2*,6+8,5+10
BaguettePremium11,NIDERA,CBN,2005,CS,NO,NO,2*,7+ 8,5+10
BaguettePremium13,NIDERA,CBN,2005,CS,NO,NO,2*,14+15,5+10
Baguette19,NIDERA,CBN,2005,CS,NO,NO,nulo,14+15,5+10
Prointa Puntal,INTA,CBN,2005,CS,SI,NO,2*,7+ 8,5+10
Prointa Gaucho,INTA,CBN,2005,CS,NO,SI,1,7+ 9,5+10
Biointa 3003,INTA,CBN,2005,CS,SI,NO,2*,7+ 9,5+10
Biointa 3000,INTA,CBN,2005,CS,NO,NO,1,7+ 8,5+10
Biointa 2001,INTA,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
Biointa 1000,INTA,CBN,2005,CNN,NO,NO,1,7+ 8,5+10
Biointa 1001,INTA,CBN,2005,CS,NO,SI,1,7+ 9,5+10
Biointa 1002,INTA,CBN,2005,CS,NO,NO,1,7+ 9,5+10
Biointa 1003,INTA,CBN,2005,CS,NO,NO,2*,7+ 9,5+10
T00100,INTA Parana,CBN,2005,CS,NO,SI,nulo,7+ 9,5+10
V00817,INTA Bordenave,CBN,2005,CS,NO,NO,2*,17+18,5+10
J02006,INTA Marcos Juarez,CBN,2005,CS,NO,NO,nulo,7+9/7+ 8,2+12
P04378,INTA Pergamino,CBN,2005,CS,NO,SI,1/2*,17+18/7+8,5+10
Buck Brasil,BUCK,CBN,2005,CS,NO,NO,1,7+ 8,5+10
Buck Mejor Pan,BUCK,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
Buck Aguará,BUCK,CBN,2005,CNN,NO,NO,2*,17+18,5+10
Buck Biguá,BUCK,CBN,2005,CS,NO,NO,1/2*,7+ 8,5+10
Buck Chacarero,BUCK,CBN,2005,CNN,NO,NO,2*,17+18,5+10
Buck 240846-1,BUCK,CBN,2005,CS,NO,NO,1,7+ 8,5+10
Don Mario Onix,DON MARIO,CBN,2005,CS,NO,NO,2*,7+ 9,5+10
Don Mario Cronox,DON MARIO,CBN,2005,CS,NO,NO,nulo,7+ 9,2+12
Inia Torcasa,INIA,CBN,2005,CS,NO,NO,2*,17+18,5+10
Inia Condor,INIA,CBN,2005,CNN?,NO,NO,2*,7+ 8,5+10
Klein Escorpión,KLEIN,CBN,2005,CS,NO,SI,1,7+ 9,5+10
Klein Proteo,KLEIN,CBN,2005,CS,NO,SI,1,7+ 9,5+10
Klein Chajá,KLEIN,CBN,2005,CNN?,NO,NO,2*,17+18,5+10
Klein Capricornio,KLEIN,CBN,2005,CS,NO,NO,2*,7+ 8,5+10
