Linea;Criadero;Origen;Año;CS/CNN;1AL/1RS;1BL/1RS;Glu-A1;Glu-B1;Glu-D1
T00100;INTA Parana;;2004;CS;NO;SI;2*;7+9;5+10
T00101;INTA Parana;;2004;CS;NO;SI;2*;7+9;5+10
T00108;INTA Parana;;2004;CS;NO;SI;2*;7+9;5+10
T00110;INTA Parana;;2004;CS;NO;NO;2*;17+18;5+10
T00114;INTA Parana;;2004;CS;NO;NO;1;7+8;5+10
T00115;INTA Parana;;2004;CS;NO;SI;2*;7+9;5+10
T00116;INTA Parana;;2004;CS;NO;SI;1/2*;7+8;5+10
T00117;INTA Parana;;2004;CS;NO;NO;2*;7+8;5+10
T00118;INTA Parana;;2004;CS;NO;NO;2*;7+9;5+10
T00119;INTA Parana;;2004;CS;NO;NO;2*;7+9;5+10
T00120;INTA Parana;;2004;CS;NO;SI;2*;7+9;5+10
T00121;INTA Parana;;2004;CS;NO;SI;2*;7+9;5+10
T00122;INTA Parana;;2004;CS;NO;SI;2*;7+9;5+10
T00123;INTA Parana;;2004;CS;NO;SI;2*;7+8;5+10
T00124;INTA Parana;;2004;CS;NO;SI;1;7+9;5+10
V00620;INTA Bordenave;;2004;CS;NO;NO;1;7+8;5+10
V00697;INTA Bordenave;;2004;CS;NO;NO;1;7+9;5+10
V00713;INTA Bordenave;;2004;CS;NO;SI;2*;7+8;5+10
V00770;INTA Bordenave;;2004;CS;NO;SI;2*;7+8;5+10
V00817;INTA Bordenave;;2004;CNN;NO;NO;2*;17+18;5+10
V00833;INTA Bordenave;;2004;CS;NO;NO;1;7+8;5+10
V00853;INTA Bordenave;;2004;CNN;NO;NO;2*;7+8;5+10
V00858;INTA Bordenave;;2004;CS;NO;NO;1;7+8;5+10
V00860;INTA Bordenave;;2004;CS;NO;SI;nulo;7+9;5+10
V00867;INTA Bordenave;;2004;CS;NO;NO;nulo;7+8;5+10
V00871;INTA Bordenave;;2004;CNN;NO;NO;2*;7+8;5+10
B07902;INTA Balcarce;;2004;CNN;NO;SI;2*;7+8;5+10
B08402;INTA Balcarce;;2004;CS;NO;SI;1;7+9;5+10
B08802;INTA Balcarce;;2004;CS;NO;NO;2*;7+8;5+10
B09102;INTA Balcarce;;2004;CS;NO;NO;1;7+8;5+10
B10601;INTA Balcarce;;2004;CS;NO;SI;1;17+18;5+10
B10901;INTA Balcarce;;2004;CS;NO;NO;2*;7+8;5+10
B11000;INTA Balcarce;;2004;CNN;NO;SI;2*;7+9;5+10
B11001;INTA Balcarce;;2004;CS;NO;SI;2*;7+9;5+10
B11201;INTA Balcarce;;2004;CS;NO;NO;2*;7+9;5+10
B11802;INTA Balcarce;;2004;CNN;NO;SI;2*;7+9;5+10
B12702;INTA Balcarce;;2004;CS;NO;SI;2*;17+18;5+10
B12800;INTA Balcarce;;2004;CS;NO;SI;2*/nulo;7+9;2+12
B13002;INTA Balcarce;;2004;CS;NO;SI;2*;7+9;5+10
B16500;INTA Balcarce;;2004;CNN;NO;NO;2*;7+8;5+10
W01039;INTA Barrow;;2004;CNN;NO;NO;2*;7+8;5+10
W01041;INTA Barrow;;2004;CNN;NO;NO;2*;7+8;5+10
W01042;INTA Barrow;;2004;CNN;NO;NO;2*;7+8;5+10
W01046;INTA Barrow;;2004;CNN;NO;NO;2*;17+18;5+10
W01049;INTA Barrow;;2004;CNN;NO;NO;2*;7+8;5+10
W99003;INTA Barrow;;2004;CNN;NO;NO;2*;7+8;5+10
W99010;INTA Barrow;;2004;CNN;NO;NO;2*;17/18;5+10
W99015;INTA Barrow;;2004;CNN;NO;NO;2*;17+18;5+10
W99020;INTA Barrow;;2004;CS;NO;NO;2*;7+8;5+10
P04378;INTA Pergamino;;2004;CS;NO;NO;2*;7+8;5+10
P04430;INTA Pergamino;;2004;CS;NO;SI;2*;7+9;5+10
P04476;INTA Pergamino;;2004;CS;NO;SI;2*;7+9;2+12
P04528;INTA Pergamino;;2004;CS;NO;NO;1;7+8;5+10
