Linea,Criadero,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
B 07302,INTA Balcarce,,2005,CS,NO,NO,2*,7+8,5+10
B 08102,INTA Balcarce,,2005,CNN,NO,SI,2*,7+9,5+10
B 08302,INTA Balcarce,,2005,CS,NO,SI,1,7+9,5+10
B 08402,INTA Balcarce,,2005,CS,NO,SI,1,7+9,5+10
B 08802,INTA Balcarce,Regional III,2005,CS,NO,NO,2*,7+8,5+10
B 10901,INTA Balcarce,Regional II,2005,CS,NO,NO,1,7+8/?,5+10
B 11001,INTA Balcarce,Regional I,2005,CS,NO,SI,2*,7+9,5+10
B 11301,INTA Balcarce,,2005,CS,NO,SI,2*/nulo,17+18,2+12
B 12702,INTA Balcarce,Regional I,2005,CS,NO,SI,2*,17+18,5+10
B 12800,INTA Balcarce,Regional II,2005,CNN?,NO,SI,2*,7+9,5+10
B 13002,INTA Balcarce,Regional III,2005,CS,NO,SI,2*,7+9,5+10
B 13202,INTA Balcarce,,2005,CS,NO,SI,2*,7+9,5+10
B 13502,INTA Balcarce,,2005,CS,NO,NO,1,17+18,5+10
B 16099,INTA Balcarce,,2005,CS,NO,SI,2*,7+9,5+10
J 03001,INTA Marcos Juarez,Regional I,2005,CS,SI,NO,2*,7+9,5+10
J 03004,INTA Marcos Juarez,Regional I,2005,CS,SI,NO,2*,7+9,5+10
J 04010,INTA Marcos Juarez,Regional III,2005,CS,NO,NO,1,7+9,5+10
J 04011,INTA Marcos Juarez,Regional III,2005,CS,NO,SI,1,7+8,5+10
J 05001,INTA Marcos Juarez,,2005,CS,NO,NO,2*,7+8,5+10
J 05002,INTA Marcos Juarez,,2005,CS,NO,NO,2*,7+8,5+12??
J 05003,INTA Marcos Juarez,,2005,CS,NO,NO,2*/nulo,7+9,2+12
J 05008,INTA Marcos Juarez,,2005,CS,NO,NO,1,17+18,5+10
J 05009,INTA Marcos Juarez,,2005,CS,NO,SI,2*,7+9,5+10
J 05010,INTA Marcos Juarez,,2005,CS,NO,SI,1,7+8,2+12
J 05011,INTA Marcos Juarez,,2005,CS,NO,NO,nulo,17+18,2+12
J 05012,INTA Marcos Juarez,,2005,CS,NO,SI,1,7+9,5+10
J 05018,INTA Marcos Juarez,,2005,CS,NO,NO,1,7+9,5+10
J 05019,INTA Marcos Juarez,,2005,CS,NO,SI,2*,7+9,5+10
J 05021,INTA Marcos Juarez,,2005,CS,NO,NO,2*,7+9,5+10
JN 03016,INTA Saenz Peña,Regional III,2005,CS,NO,NO,2*,7+9,5+10
JN 04003,INTA Saenz Peña,Regional I,2005,CS,NO,SI,1,7+9,5+10
JN 04014,INTA Saenz Peña,Regional III,2005,CS,NO,NO,2*,7+9,5+10
JN 04015,INTA Saenz Peña,Regional III,2005,CS,NO,NO,2*,7+9,5+10
JN 04016,INTA Saenz Peña,Regional III,2005,CS,NO,NO,1,17+18,5+10
JN 05004,INTA Saenz Peña,,2005,CS,NO,NO,1,7+9,5+10
JN 05006,INTA Saenz Peña,,2005,CS,NO,NO,1,7+9,2+12
JN 05007,INTA Saenz Peña,,2005,CS,NO,NO,2*/nulo,7+8,2+12
JN 05013,INTA Saenz Peña,,2005,CS,NO,NO,1,7+9/17+18,5+10
JN 05014,INTA Saenz Peña,,2005,CS,NO,SI,1,7+9,5+10
JN 05015,INTA Saenz Peña,,2005,CS,NO,SI,1,14+15?,5+10
JN 05016,INTA Saenz Peña,,2005,CS,NO,SI,2*/nulo,7+9,2+12
JN 05017,INTA Saenz Peña,,2005,CS,NO,NO,2*,17+18,5+10
JN 05020,INTA Saenz Peña,,2005,CS,NO,NO,2*,7+9,5+10
P 04308,INTA Pergamino,,2005,CS,NO,SI,2*,7+8/?,5+10
P 04430,INTA Pergamino,Regional II,2005,CS,NO,SI,2*,7+9,5+10
P 04473,INTA Pergamino,,2005,CS,NO,SI,2*/nulo,7+9,2+12
P 04476,INTA Pergamino,Regional III,2005,CS,NO,SI,2*/nulo,7+9,2+12
P 04537,INTA Pergamino,Regional I,2005,CS,NO,NO,2*/nulo,7+9,2+12
P 04544,INTA Pergamino,,2005,CS,NO,SI,1,7+9,5+10
P 04578,INTA Pergamino,Regional III,2005,CS,NO,NO,2*,7+9,5+10
P 04695,INTA Pergamino,Regional I,2005,CS,NO,NO,1,7+8,5+10
P 04736,INTA Pergamino,,2005,CS,NO,NO,1,7+8/17+18,5+10
P 04788,INTA Pergamino,,2005,CS,NO,NO,1,7+9,5+10
P 04802,INTA Pergamino,,2005,CS,NO,NO,1,7+8,5+10
P 04805,INTA Pergamino,,2005,CS,NO,NO,2*,7+8,5+10
P 04815,INTA Pergamino,,2005,CS,NO,NO,2*,7+8,5+10
P 04836,INTA Pergamino,,2005,CS,NO,NO,1,17+18/7+9,5+10
P 04854,INTA Pergamino,,2005,CS,NO,SI,1,7+9,5+10
P 04855,INTA Pergamino,,2005,CS,NO,NO,1,17+18,5+10
R 04001,INTA Marcos Juarez,Regional II,2005,CS,SI,NO,2*,7+8,5+10
R 04002,INTA Marcos Juarez,Regional II,2005,CS,SI,NO,2*,7+8,5+10
R 04003,INTA Marcos Juarez,Regional II,2005,CS,NO,SI,1,7+9,5+10
R 04004,INTA Marcos Juarez,Regional II,2005,CS,NO,SI,1,7+9,5+10
R 04006,INTA Marcos Juarez,,2005,CS,SI,NO,2*,7+8,5+10
R 04008,INTA Marcos Juarez,,2005,CS,SI,NO,2*,7+8,5+10
R 04010,INTA Marcos Juarez,,2005,CS,SI,NO,2*,7+8,5+10
T 00114,INTA Parana,Regional III,2005,CS,NO,NO,1,7+8,5+10
T 00115,INTA Parana,Regional III,2005,CS,NO,SI,1,7+9,5+10
T 00124,INTA Parana,Regional III,2005,CS,NO,SI,1,7+9,5+10
T 00125,INTA Parana,,2005,CS,NO,SI,2*,7+8,5+10
T 00126,INTA Parana,,2005,CS,NO,NO,2*,7+8,5+10
T 00127,INTA Parana,,2005,CS,NO,SI,2*,7+8/7+9,5+10
T 00128,INTA Parana,,2005,CS,NO,SI,2*,7+9,5+10
T 00129,INTA Parana,,2005,CS,NO,SI,2*,7+9,5+10
T 00130,INTA Parana,,2005,CS,NO,NO,1,7+8/?,5+10
T 00131,INTA Parana,,2005,CS,NO,NO,2*,7+8,5+10
T 00132,INTA Parana,,2005,CS,NO,SI,2*,7+9,5+10
T 00133,INTA Parana,,2005,CS,NO,SI,2*,7+9,5+10
T 00134,INTA Parana,,2005,CS,NO,NO?,2*,7+9,5+10
T 00135,INTA Parana,,2005,CS,NO,NO,1,13+16,5+10/2+12
T 00136,INTA Parana,,2005,CS,NO,NO,1,7+8,5+10
T 00137,INTA Parana,,2005,CS,NO,NO,1,7+8,5+10
V 00703,INTA Bordenave,,2005,CS,NO,SI,1,7+8,5+10/2+12
V 00770,INTA Bordenave,Regional II,2005,CS,NO,SI,2*,7+8,5+10
V 00817,INTA Bordenave,,2005,CS,NO,NO,2*,17+18,5+10
V 00830,INTA Bordenave,,2005,CS,NO,SI,1,7+9,5+10
V 00832,INTA Bordenave,,2005,CS,NO,NO,2*,7+8,5+10
V 00833,INTA Bordenave,Regional I,2005,CS,NO,NO,1,7+8,5+10
V 00836,INTA Bordenave,,2005,CS,NO,NO,1,7+8,2+12
V 00858,INTA Bordenave,Regional II,2005,CS,NO,NO,1,7+8,5+10
V 00860,INTA Bordenave,Regional I,2005,CS,NO,SI,2*,7+9,5+10
V 00871,INTA Bordenave,Regional II,2005,CNN,NO,NO,2*,7+8,5+10
V 00876,INTA Bordenave,,2005,CS,NO,NO,1,17+18/?,5+10
W 01041,INTA Barrow,Regional I,2005,CNN,NO,NO,2*,7+8,5+10
W 03003,INTA Barrow,,2005,CS,NO,NO,1,7+8,5+10
W 03011,INTA Barrow,,2005,CS,NO,NO,2*,17+18,5+10
W 03018,INTA Barrow,,2005,CNN?,NO,NO,1,7+8,5+10
W 03019,INTA Barrow,,2005,CNN?,NO,NO,2*,7+9,5+10
W 03020,INTA Barrow,,2005,CS,NO,NO,2*,7+9,5+10
W 99020,INTA Barrow,Regional I,2005,CS,NO,NO,2*,7+8,5+10
ACA 303,ACA,,2005,CNN,NO,NO,2*,7+8,5+10
BAGUETTE 10,NIDERA,,2005,CS,NO,NO,nulo,6+8,5+10
BAGUETTE 11,NIDERA,,2005,CS,NO,NO,2*,7+8,5+10
BAGUETTE 13,NIDERA,,2005,CS,NO,NO,2*,14+15?,5+10
